	('meanlog10(k) (a.u.) 0',)	('meantau(min) 1',)	('survivingFraction 2',)	('classificationAccuracy(theta_T) 3',)	('classificationAccuracy(fate boundary) 4',)
(' 124', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-4.848	108.6391	0.7574	0.91716	0.66272
(' 125', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 4')	-4.831	93.56	0.792	0.912	0.632
(' 126', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 5')	-5.1081	113.2197	0.89015	0.93182	0.87121
(' 127', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.8576	110.428	0.75097	0.90272	0.71206
(' 128', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.7396	96.093	0.72093	0.87442	0.62326
(' 129', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.7251	212.389	0.78851	0.91906	0.81723
(' 130', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.7838	209.0625	0.73438	0.92188	0.86719
(' 131', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-5.4397	149.9528	0.65094	0.96226	0.91509
(' 132', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 4')	-5.8652	246.7619	0.84762	0.90952	0.84286
(' 133', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 5')	-6.1631	242.9796	0.79592	0.88571	0.84898
(' 134', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.615	222.524	0.68029	0.88942	0.78606
(' 135', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.9036	221.6111	0.77778	0.88889	0.82222
('Bortezomib 136', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.1325	210.4954	0.13211	0.56697	0.4789
('Bortezomib 137', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.106	216.4074	0.16667	0.65556	0.58889
('Bortezomib 138', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-5.4321	292.5407	0.27036	0.61564	0.35505
('Bortezomib 139', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-6.0642	373.9457	0.67093	0.89457	0.71246
('Bortezomib 140', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-6.0584	323.5313	0.76875	0.93125	0.825
('Bortezomib 141', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP FLIP-S-mCherry', 'clCenterSpecificID: 51104', 'antibodyName: ', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-6.1522	356.3208	0.8221	0.92453	0.84097
(' 142', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.0256	68.4836	0.80328	0.2623	0.17213
(' 143', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.1515	84.0957	0.7766	0.25532	0.2234
(' 144', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-4.2643	52.9167	0.02451	0.87255	0.84314
(' 145', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 4')	-4.0411	75.678	0.89831	0.18644	0.10169
(' 146', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 5')	-4.0268	76.7361	0.79167	0.22222	0.20833
(' 147', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-3.9409	63.4836	0.7459	0.27049	0.20492
(' 148', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.0245	73.1522	0.88043	0.19565	0.086957
(' 149', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-4.1591	43.5669	0.0	0.94268	0.83439
(' 150', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 25', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.0886	259.4385	0.91444	0.41711	0.39572
(' 151', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 25', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.4123	255.1832	0.91623	0.65445	0.56021
(' 152', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.0167	64.6	0.74	0.34	0.24
(' 153', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.1884	81.1458	0.91667	0.25	0.083333
(' 154', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-4.1831	49.8951	0.013986	0.90909	0.88112
(' 155', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 4')	-4.0534	77.8723	0.93617	0.12766	0.10638
(' 156', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 5')	-4.0081	69.8361	0.83607	0.18033	0.13115
(' 157', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.0439	70.9259	0.8642	0.20988	0.1358
(' 158', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.0902	66.3725	0.70588	0.37255	0.2549
(' 159', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 500', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-4.1824	46.9408	0.0065789	0.93421	0.83553
('ABT-263 160', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.0874	48.5371	0.11354	0.8559	0.76419
('ABT-263 161', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP Bcl-2-mCherry', 'clCenterSpecificID: 51105', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.036	46.3426	0.23148	0.80556	0.63889
('ABT-263 162', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.1114	52.25	0.23889	0.76111	0.66111
('ABT-263 163', 'smCenterCompoundID: 10367.0', 'smCenterSampleID: 1.0', 'smName: ABT-263', 'clName: HeLa ICRP Bcl-XL-mCherry', 'clCenterSpecificID: 51106', 'antibodyName: ', 'smallMolConcentration: 10', 'smallMolConcUnit: uM', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.0306	54.5	0.4	0.6	0.5
