	('cellCount 0',)	('percentApoptoticCells 1',)
('1952 1633', 'recordedWell: F07', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	521.0	2.111324
('1953 1634', 'recordedWell: F07', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	581.0	3.958692
('1954 1635', 'recordedWell: F08', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	123.0	33.333332
('1955 1636', 'recordedWell: F08', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	115.0	51.304348
('1956 1637', 'recordedWell: F08', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	153.0	24.836601
('1957 1638', 'recordedWell: F09', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	297.0	0.3367
('1958 1639', 'recordedWell: F09', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	532.0	1.315789
('1959 1640', 'recordedWell: F09', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	665.0	3.909775
('1960 1641', 'recordedWell: F10', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	329.0	0.303951
('1961 1642', 'recordedWell: F10', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	533.0	1.500938
('1962 1643', 'recordedWell: F10', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	650.0	2.153846
('1963 1644', 'recordedWell: F11', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	267.0	2.247191
('1964 1645', 'recordedWell: F11', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	452.0	0.884956
('1965 1646', 'recordedWell: F11', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	646.0	4.334365
('1966 1647', 'recordedWell: F12', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	257.0	1.167315
('1967 1648', 'recordedWell: F12', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	575.0	1.391304
('1968 1649', 'recordedWell: F12', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	663.0	4.524887
('1969 1650', 'recordedWell: F13', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	169.0	2.95858
('1970 1651', 'recordedWell: F13', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	232.0	5.172414
('1971 1652', 'recordedWell: F13', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	192.0	13.020833
('1972 1653', 'recordedWell: F14', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	266.0	1.503759
('1973 1654', 'recordedWell: F14', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	534.0	1.685393
('1974 1655', 'recordedWell: F14', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	700.0	5.142857
('1975 1656', 'recordedWell: F15', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	156.0	0.641026
('1976 1657', 'recordedWell: F15', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	185.0	6.486486
('1977 1658', 'recordedWell: F15', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	228.0	9.210526
('1978 1659', 'recordedWell: F16', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	107.0	4.672897
('1979 1660', 'recordedWell: F16', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	198.0	11.111111
('1980 1661', 'recordedWell: F16', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	149.0	22.818792
('1981 1662', 'recordedWell: F17', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	321.0	1.557632
('1982 1663', 'recordedWell: F17', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	527.0	1.897533
('1983 1664', 'recordedWell: F17', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	631.0	3.645008
('1984 1665', 'recordedWell: F18', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	146.0	4.109589
('1985 1666', 'recordedWell: F18', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	168.0	18.452381
('1986 1667', 'recordedWell: F18', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	156.0	26.923077
('1987 1668', 'recordedWell: F19', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	318.0	1.257862
('1988 1669', 'recordedWell: F19', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	530.0	0.943396
('1989 1670', 'recordedWell: F19', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	645.0	3.72093
('1990 1671', 'recordedWell: F20', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	163.0	3.067485
('1991 1672', 'recordedWell: F20', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	156.0	17.307692
('1992 1673', 'recordedWell: F20', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	230.0	35.652172
('1993 1674', 'recordedWell: F21', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	366.0	1.092896
('1994 1675', 'recordedWell: F21', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	545.0	2.568807
('1995 1676', 'recordedWell: F21', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	659.0	3.186646
('1996 1677', 'recordedWell: F22', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	168.0	1.785714
('1997 1678', 'recordedWell: F22', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	172.0	12.790698
('1998 1679', 'recordedWell: F22', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	199.0	38.190956
('1999 1680', 'recordedWell: G03', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	111.0	2.702703
('2000 1681', 'recordedWell: G03', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	195.0	2.564103
('2001 1682', 'recordedWell: G03', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	189.0	13.756614
('2002 1683', 'recordedWell: G04', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	228.0	0.0
('2003 1684', 'recordedWell: G04', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	513.0	1.559454
('2004 1685', 'recordedWell: G04', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	676.0	4.881657
('2005 1686', 'recordedWell: G05', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	129.0	1.550388
('2006 1687', 'recordedWell: G05', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	215.0	6.046512
('2007 1688', 'recordedWell: G05', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	232.0	15.948276
('2008 1689', 'recordedWell: G06', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	176.0	2.272727
('2009 1690', 'recordedWell: G06', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	160.0	52.5
('2010 1691', 'recordedWell: G06', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	154.0	68.831169
('2011 1692', 'recordedWell: G07', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	303.0	0.990099
('2012 1693', 'recordedWell: G07', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	529.0	2.268431
('2013 1694', 'recordedWell: G07', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	633.0	4.897315
('2014 1695', 'recordedWell: G08', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	164.0	3.04878
('2015 1696', 'recordedWell: G08', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	131.0	51.908398
('2016 1697', 'recordedWell: G08', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	155.0	65.161293
('2017 1698', 'recordedWell: G09', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	327.0	2.446483
('2018 1699', 'recordedWell: G09', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	608.0	1.809211
('2019 1700', 'recordedWell: G09', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	708.0	5.084746
('2020 1701', 'recordedWell: G10', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	249.0	2.008032
('2021 1702', 'recordedWell: G10', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	526.0	3.612167
('2022 1703', 'recordedWell: G10', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	614.0	5.537459
('2023 1704', 'recordedWell: G11', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	314.0	1.273885
('2024 1705', 'recordedWell: G11', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	493.0	2.231237
('2025 1706', 'recordedWell: G11', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	702.0	3.561254
('2026 1707', 'recordedWell: G12', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	272.0	1.838235
('2027 1708', 'recordedWell: G12', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	488.0	3.278688
('2028 1709', 'recordedWell: G12', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	611.0	8.510638
('2029 1710', 'recordedWell: G13', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 1.23457')	131.0	1.526718
('2030 1711', 'recordedWell: G13', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 1.23457')	160.0	18.75
('2031 1712', 'recordedWell: G13', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 1.23457')	156.0	32.051281
('2032 1713', 'recordedWell: G14', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	281.0	2.491103
('2033 1714', 'recordedWell: G14', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	550.0	0.909091
('2034 1715', 'recordedWell: G14', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	642.0	5.76324
('2035 1716', 'recordedWell: G15', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 1.23457')	144.0	6.944445
('2036 1717', 'recordedWell: G15', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 1.23457')	167.0	33.532932
('2037 1718', 'recordedWell: G15', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 1.23457')	176.0	32.386364
('2038 1719', 'recordedWell: G16', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 3.703706667')	185.0	5.405406
('2039 1720', 'recordedWell: G16', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 3.703706667')	202.0	5.445545
('2040 1721', 'recordedWell: G16', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 3.703706667')	218.0	13.761468
('2041 1722', 'recordedWell: G17', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.001696667')	314.0	0.636943
('2042 1723', 'recordedWell: G17', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.001696667')	497.0	2.21328
('2043 1724', 'recordedWell: G17', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.001696667')	682.0	4.105572
('2044 1725', 'recordedWell: G18', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 3.703706667')	160.0	3.75
('2045 1726', 'recordedWell: G18', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 3.703706667')	197.0	5.583756
('2046 1727', 'recordedWell: G18', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 3.703706667')	214.0	12.149532
('2047 1728', 'recordedWell: G19', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.001696667')	342.0	1.754386
('2048 1729', 'recordedWell: G19', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.001696667')	543.0	2.762431
('2049 1730', 'recordedWell: G19', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.001696667')	630.0	4.761905
('2050 1731', 'recordedWell: G20', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.015243333')	304.0	2.302632
('2051 1732', 'recordedWell: G20', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.015243333')	497.0	2.012072
('2052 1733', 'recordedWell: G20', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.015243333')	617.0	5.834684
('2053 1734', 'recordedWell: G21', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	347.0	0.864553
('2054 1735', 'recordedWell: G21', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	553.0	1.98915
('2055 1736', 'recordedWell: G21', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	746.0	4.825737
('2056 1737', 'recordedWell: G22', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.015243333')	270.0	1.111111
('2057 1738', 'recordedWell: G22', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.015243333')	529.0	2.079395
('2058 1739', 'recordedWell: G22', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.015243333')	657.0	5.327245
('2059 1740', 'recordedWell: H03', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 3.703706667')	242.0	1.239669
('2060 1741', 'recordedWell: H03', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 3.703706667')	407.0	1.965602
('2061 1742', 'recordedWell: H03', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 3.703706667')	634.0	2.050473
('2062 1743', 'recordedWell: H04', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	267.0	1.498127
('2063 1744', 'recordedWell: H04', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	542.0	2.214022
('2064 1745', 'recordedWell: H04', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	654.0	3.058104
('2065 1746', 'recordedWell: H05', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 3.703706667')	281.0	1.423488
('2066 1747', 'recordedWell: H05', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 3.703706667')	491.0	0.814664
('2067 1748', 'recordedWell: H05', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 3.703706667')	666.0	3.003003
('2068 1749', 'recordedWell: H06', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 3.703706667')	108.0	14.814815
('2069 1750', 'recordedWell: H06', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 3.703706667')	122.0	25.409836
('2070 1751', 'recordedWell: H06', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 3.703706667')	274.0	13.138686
('2071 1752', 'recordedWell: H07', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.005083333')	304.0	1.644737
('2072 1753', 'recordedWell: H07', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.005083333')	523.0	1.529637
('2073 1754', 'recordedWell: H07', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.005083333')	653.0	5.359878
('2074 1755', 'recordedWell: H08', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 3.703706667')	197.0	7.614213
('2075 1756', 'recordedWell: H08', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 3.703706667')	215.0	18.139534
('2076 1757', 'recordedWell: H08', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 3.703706667')	270.0	12.592592
('2077 1758', 'recordedWell: H09', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.005083333')	283.0	3.533569
('2078 1759', 'recordedWell: H09', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.005083333')	552.0	2.173913
('2079 1760', 'recordedWell: H09', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.005083333')	692.0	2.745665
('2080 1761', 'recordedWell: H10', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.005083333')	276.0	2.898551
('2081 1762', 'recordedWell: H10', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.005083333')	567.0	1.410935
('2082 1763', 'recordedWell: H10', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.005083333')	664.0	3.76506
('2083 1764', 'recordedWell: H11', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	341.0	1.17302
('2084 1765', 'recordedWell: H11', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	454.0	1.762115
('2085 1766', 'recordedWell: H11', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	703.0	3.41394
('2086 1767', 'recordedWell: H12', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.005083333')	292.0	0.0
('2087 1768', 'recordedWell: H12', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.005083333')	505.0	0.792079
('2088 1769', 'recordedWell: H12', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.005083333')	671.0	4.470939
('2089 1770', 'recordedWell: H13', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 1.23457')	147.0	3.401361
('2090 1771', 'recordedWell: H13', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 1.23457')	231.0	1.731602
('2091 1772', 'recordedWell: H13', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 1.23457')	214.0	13.084112
('2092 1773', 'recordedWell: H14', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	275.0	1.818182
('2093 1774', 'recordedWell: H14', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	528.0	0.378788
('2094 1775', 'recordedWell: H14', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	635.0	3.937008
('2095 1776', 'recordedWell: H15', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 1.23457')	206.0	2.427185
('2096 1777', 'recordedWell: H15', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 1.23457')	192.0	7.291667
('2097 1778', 'recordedWell: H15', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 1.23457')	251.0	7.968128
('2098 1779', 'recordedWell: H16', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 3.703706667')	101.0	9.90099
('2099 1780', 'recordedWell: H16', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 3.703706667')	146.0	15.068493
('2100 1781', 'recordedWell: H16', 'day_timepoint: 3', 'cell_clName: IST-MEL1', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 3.703706667')	147.0	27.891157
('2101 1782', 'recordedWell: H17', 'day_timepoint: 1', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.001696667')	296.0	0.675676
('2102 1783', 'recordedWell: H17', 'day_timepoint: 2', 'cell_clName: IST-MEL1', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.001696667')	516.0	1.937984
