	('seedingDensity 0',)	('meanTotalCellCountBeforeTreatment 1',)	('meanTotalCellCountAfterTreatment 2',)	('meanTotalControlCellCount 3',)	('meanRelativeCellCount 4',)	('meanNormalizedGrowthRateInhibitionValue 5',)
('NVP-TAE684 4016', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	312.5	166.0417	5042.3333	5165.0833	0.97332	0.98651
('NVP-TAE684 4017', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	312.5	166.0417	4659.3333	5165.0833	0.89909	0.95505
('NVP-TAE684 4018', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	312.5	166.0417	3133.0	5165.0833	0.60281	0.8004
('NVP-TAE684 4019', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	312.5	166.0417	1763.0	5165.0833	0.33795	0.60284
('NVP-TAE684 4020', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	312.5	166.0417	860.0	5165.0833	0.16554	0.38941
('NVP-TAE684 4021', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	312.5	166.0417	426.6667	5165.0833	0.081523	0.20094
('NVP-TAE684 4022', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	312.5	166.0417	199.6667	5165.0833	0.038968	0.037016
('Palbociclib 4023', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	312.5	166.0417	4798.6667	4926.6667	0.97519	0.98975
('Palbociclib 4024', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	312.5	166.0417	5192.3333	4926.6667	1.0573	1.0226
('Palbociclib 4025', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	312.5	166.0417	3888.0	4926.6667	0.79523	0.90525
('Palbociclib 4026', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	312.5	166.0417	3291.3333	4926.6667	0.66948	0.83424
('Palbociclib 4027', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	312.5	166.0417	1297.0	4926.6667	0.26517	0.52207
('Palbociclib 4028', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	312.5	166.0417	662.0	4926.6667	0.13663	0.31864
('Palbociclib 4029', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	312.5	166.0417	392.6667	4926.6667	0.079987	0.19257
('Palbociclib 4030', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	312.5	166.0417	317.6667	4926.6667	0.064668	0.14166
('Palbociclib 4031', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	312.5	166.0417	232.0	4926.6667	0.047232	0.070591
('GSK2126458 4032', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 5')	625.0	399.25	6049.0	8963.4167	0.67458	0.83122
('GSK2126458 4033', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	625.0	399.25	4549.3333	8963.4167	0.50772	0.71958
('GSK2126458 4034', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	625.0	399.25	3041.3333	8963.4167	0.33894	0.56829
('GSK2126458 4035', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	625.0	399.25	1406.3333	8963.4167	0.15692	0.31985
('GSK2126458 4036', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	625.0	399.25	714.6667	8963.4167	0.079649	0.13714
('GSK2126458 4037', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	625.0	399.25	622.0	8963.4167	0.069363	0.1029
('GSK2126458 4038', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	625.0	399.25	492.3333	8963.4167	0.054893	0.046506
('GSK2126458 4039', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	625.0	399.25	440.6667	8963.4167	0.049143	0.021317
('GSK2126458 4040', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	625.0	399.25	321.0	8963.4167	0.035824	-0.047752
('Methotrexate 4041', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 5')	625.0	399.25	9400.6667	8963.4167	1.0492	1.0213
('Methotrexate 4042', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	625.0	399.25	8673.6667	8963.4167	0.96826	0.98418
('Methotrexate 4043', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	625.0	399.25	9185.0	8963.4167	1.0252	1.0109
('Methotrexate 4044', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	625.0	399.25	9199.6667	8963.4167	1.0261	1.0114
('Methotrexate 4045', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	625.0	399.25	2409.3333	8963.4167	0.26885	0.49253
('Methotrexate 4046', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	625.0	399.25	2186.6667	8963.4167	0.24387	0.46008
('Methotrexate 4047', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	625.0	399.25	2070.0	8963.4167	0.23098	0.44275
('Methotrexate 4048', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	625.0	399.25	2199.6667	8963.4167	0.24553	0.46245
('Methotrexate 4049', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	625.0	399.25	2241.3333	8963.4167	0.24999	0.46849
('Taxol 4050', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00016596', 'replicate: 5')	625.0	399.25	9607.0	8963.4167	1.0725	1.0309
('Taxol 4051', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00033113', 'replicate: 5')	625.0	399.25	9414.3333	8963.4167	1.0511	1.0213
('Taxol 4052', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.001', 'replicate: 5')	625.0	399.25	7383.6667	8963.4167	0.82329	0.9146
('Taxol 4053', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0031623', 'replicate: 5')	625.0	399.25	2138.0	8963.4167	0.2382	0.4481
('Taxol 4054', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	625.0	399.25	387.0	8963.4167	0.043245	-0.0093528
('Taxol 4055', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	625.0	399.25	367.0	8963.4167	0.040936	-0.018693
('Taxol 4056', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	625.0	399.25	285.0	8963.4167	0.031775	-0.07333
('Taxol 4057', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	625.0	399.25	309.0	8963.4167	0.034477	-0.05575
('Taxol 4058', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	625.0	399.25	316.0	8963.4167	0.035247	-0.050881
('Etoposide 4059', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	625.0	399.25	9245.3333	8952.8333	1.0328	1.0139
('Etoposide 4060', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	625.0	399.25	8707.3333	8952.8333	0.97248	0.98735
('Etoposide 4061', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	625.0	399.25	7247.3333	8952.8333	0.80916	0.90747
('Etoposide 4062', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	625.0	399.25	5835.6667	8952.8333	0.65165	0.81692
('Etoposide 4063', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	625.0	399.25	1661.0	8952.8333	0.18548	0.37293
('Etoposide 4064', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	625.0	399.25	711.6667	8952.8333	0.079266	0.13289
('Etoposide 4065', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	625.0	399.25	364.0	8952.8333	0.040687	-0.020453
('Etoposide 4066', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	625.0	399.25	353.6667	8952.8333	0.039566	-0.027447
('Etoposide 4067', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	625.0	399.25	350.6667	8952.8333	0.039126	-0.029196
('Nilotinib 4068', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	625.0	399.25	9153.3333	8952.8333	1.0223	1.0096
('Nilotinib 4069', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	625.0	399.25	9173.6667	8952.8333	1.0242	1.0103
('Nilotinib 4070', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	625.0	399.25	9377.3333	8952.8333	1.0477	1.0205
('Nilotinib 4071', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	625.0	399.25	9142.0	8952.8333	1.0208	1.009
('Nilotinib 4072', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	625.0	399.25	9244.0	8952.8333	1.0323	1.0142
('Nilotinib 4073', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	625.0	399.25	9231.3333	8952.8333	1.0316	1.0136
('Nilotinib 4074', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	625.0	399.25	8724.0	8952.8333	0.97459	0.98842
('Nilotinib 4075', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	625.0	399.25	2231.0	8952.8333	0.24837	0.4412
('Nilotinib 4076', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	625.0	399.25	819.6667	8952.8333	0.091624	0.17365
('PLX-4720 4077', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	625.0	399.25	9297.6667	8952.8333	1.038	1.0163
('PLX-4720 4078', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	625.0	399.25	8878.6667	8952.8333	0.99146	0.99546
('PLX-4720 4079', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	625.0	399.25	9503.6667	8952.8333	1.0615	1.0268
('PLX-4720 4080', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	625.0	399.25	9238.6667	8952.8333	1.0318	1.0139
('PLX-4720 4081', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	625.0	399.25	8788.3333	8952.8333	0.98149	0.99164
('PLX-4720 4082', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	625.0	399.25	9045.0	8952.8333	1.0101	1.0043
('PLX-4720 4083', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	625.0	399.25	8935.6667	8952.8333	0.99772	0.9988
('PLX-4720 4084', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	625.0	399.25	6990.0	8952.8333	0.78036	0.89088
('PLX-4720 4085', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	625.0	399.25	3209.3333	8952.8333	0.35782	0.5881
('NVP-TAE684 4086', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 5')	625.0	399.25	9043.0	8952.8333	1.01	1.0043
('NVP-TAE684 4087', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	625.0	399.25	9183.6667	8952.8333	1.0257	1.0113
('NVP-TAE684 4088', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	625.0	399.25	9276.6667	8952.8333	1.0364	1.016
('NVP-TAE684 4089', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	625.0	399.25	8184.6667	8952.8333	0.91413	0.95964
('NVP-TAE684 4090', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	625.0	399.25	6817.3333	8952.8333	0.76126	0.88193
('NVP-TAE684 4091', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	625.0	399.25	4948.6667	8952.8333	0.55221	0.75068
('NVP-TAE684 4092', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	625.0	399.25	2914.0	8952.8333	0.32525	0.55565
('NVP-TAE684 4093', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	625.0	399.25	911.3333	8952.8333	0.10162	0.19983
('NVP-TAE684 4094', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	625.0	399.25	380.0	8952.8333	0.042454	-0.011371
('Palbociclib 4095', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	625.0	399.25	9024.3333	8963.4167	1.0063	1.0023
('Palbociclib 4096', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	625.0	399.25	8865.6667	8963.4167	0.98913	0.99513
('Palbociclib 4097', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	625.0	399.25	7576.3333	8963.4167	0.84565	0.92625
('Palbociclib 4098', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	625.0	399.25	6400.0	8963.4167	0.71356	0.85456
('Palbociclib 4099', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	625.0	399.25	3731.6667	8963.4167	0.41642	0.64509
('Palbociclib 4100', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	625.0	399.25	2168.3333	8963.4167	0.24186	0.45748
('Palbociclib 4101', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	625.0	399.25	1501.0	8963.4167	0.16747	0.34285
('Palbociclib 4102', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	625.0	399.25	925.3333	8963.4167	0.10312	0.20296
('Palbociclib 4103', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 5')	625.0	399.25	665.6667	8963.4167	0.074278	0.11947
('GSK2126458 4104', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 5')	1250.0	996.8333	9090.3333	11121.5	0.81863	0.88743
('GSK2126458 4105', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	1250.0	996.8333	7991.3333	11121.5	0.71914	0.81905
('GSK2126458 4106', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	1250.0	996.8333	5685.0	11121.5	0.51126	0.64907
('GSK2126458 4107', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	1250.0	996.8333	2591.0	11121.5	0.23305	0.3133
('GSK2126458 4108', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	1250.0	996.8333	1584.3333	11121.5	0.14232	0.14054
('GSK2126458 4109', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	1250.0	996.8333	1356.3333	11121.5	0.12186	0.091648
('GSK2126458 4110', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	1250.0	996.8333	1223.3333	11121.5	0.10989	0.058671
('GSK2126458 4111', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	1250.0	996.8333	1047.0	11121.5	0.094088	0.012531
('GSK2126458 4112', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	1250.0	996.8333	743.0	11121.5	0.066792	-0.081186
('Methotrexate 4113', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 5')	1250.0	996.8333	10971.3333	11121.5	0.98597	0.99163
('Methotrexate 4114', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	1250.0	996.8333	11074.0	11121.5	0.99535	0.99704
('Methotrexate 4115', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	1250.0	996.8333	11187.0	11121.5	1.0058	1.0032
('Methotrexate 4116', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	1250.0	996.8333	11022.0	11121.5	0.99175	0.99495
('Methotrexate 4117', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	1250.0	996.8333	2725.6667	11121.5	0.24523	0.33524
('Methotrexate 4118', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	1250.0	996.8333	2542.0	11121.5	0.22854	0.30825
('Methotrexate 4119', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	1250.0	996.8333	2330.0	11121.5	0.20943	0.27606
('Methotrexate 4120', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 5')	1250.0	996.8333	2357.3333	11121.5	0.212	0.28054
('Methotrexate 4121', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 5')	1250.0	996.8333	2460.3333	11121.5	0.2212	0.2963
('Taxol 4122', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00016596', 'replicate: 5')	1250.0	996.8333	11383.0	11121.5	1.0239	1.0137
('Taxol 4123', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00033113', 'replicate: 5')	1250.0	996.8333	11114.6667	11121.5	0.99964	0.99955
('Taxol 4124', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.001', 'replicate: 5')	1250.0	996.8333	10720.6667	11121.5	0.96405	0.97899
('Taxol 4125', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0031623', 'replicate: 5')	1250.0	996.8333	5495.0	11121.5	0.49369	0.63104
('Taxol 4126', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	1250.0	996.8333	997.0	11121.5	0.089608	-0.001241
('Taxol 4127', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 5')	1250.0	996.8333	719.0	11121.5	0.064707	-0.089769
('Taxol 4128', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 5')	1250.0	996.8333	604.0	11121.5	0.054346	-0.13411
('Taxol 4129', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 5')	1250.0	996.8333	624.3333	11121.5	0.056157	-0.12584
('Taxol 4130', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 5')	1250.0	996.8333	604.3333	11121.5	0.054361	-0.13398
('Etoposide 4131', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 5')	1250.0	996.8333	10966.6667	10901.4167	1.0058	1.0031
('Etoposide 4132', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 5')	1250.0	996.8333	10468.6667	10901.4167	0.96038	0.9767
