	('averageVIPScore 0',)
('191895 583', 'clName: RVH-421', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.69241
('191896 584', 'clName: RVH-421', 'timePoint: 1', 'variable: p-NFKB(S536)')	1.1487
('191897 585', 'clName: RVH-421', 'timePoint: 1', 'variable: Bim')	0.41103
('191898 586', 'clName: RVH-421', 'timePoint: 1', 'variable: cPARP')	0.5899
('191899 587', 'clName: RVH-421', 'timePoint: 1', 'variable: p-Histone H3(S10)')	
('191900 588', 'clName: RVH-421', 'timePoint: 1', 'variable: p27 Kip1')	0.55022
('191901 589', 'clName: RVH-421', 'timePoint: 5', 'variable: p-p90RSK(S380)')	-0.6997
('191902 590', 'clName: RVH-421', 'timePoint: 5', 'variable: p-p90RSK(T573)')	
('191903 591', 'clName: RVH-421', 'timePoint: 5', 'variable: p-AKT(T308)')	-0.65256
('191904 592', 'clName: RVH-421', 'timePoint: 5', 'variable: p-AKT(S473)')	-0.58425
('191905 593', 'clName: RVH-421', 'timePoint: 5', 'variable: p-mTOR(S2448)')	-0.77894
('191906 594', 'clName: RVH-421', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	0.26993
('191907 595', 'clName: RVH-421', 'timePoint: 5', 'variable: p-p70S6K(T389)')	
('191908 596', 'clName: RVH-421', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.61113
('191909 597', 'clName: RVH-421', 'timePoint: 5', 'variable: p-AMPK(T172)')	
('191910 598', 'clName: RVH-421', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	-0.63346
('191911 599', 'clName: RVH-421', 'timePoint: 5', 'variable: Total c-Jun')	
('191912 600', 'clName: RVH-421', 'timePoint: 5', 'variable: p-cJun(S63)')	
('191913 601', 'clName: RVH-421', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	0.22986
('191914 602', 'clName: RVH-421', 'timePoint: 5', 'variable: p-HSP27(S82)')	-0.77288
('191915 603', 'clName: RVH-421', 'timePoint: 5', 'variable: p-NFKB(S536)')	-1.305
('191916 604', 'clName: RVH-421', 'timePoint: 5', 'variable: Bim')	-1.0463
('191917 605', 'clName: RVH-421', 'timePoint: 5', 'variable: cPARP')	-0.50626
('191918 606', 'clName: RVH-421', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.6825
('191919 607', 'clName: RVH-421', 'timePoint: 5', 'variable: p27 Kip1')	-0.62768
('191920 608', 'clName: RVH-421', 'timePoint: 10', 'variable: p-p90RSK(S380)')	1.1134
('191921 609', 'clName: RVH-421', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.78083
('191922 610', 'clName: RVH-421', 'timePoint: 10', 'variable: p-AKT(T308)')	0.65412
('191923 611', 'clName: RVH-421', 'timePoint: 10', 'variable: p-AKT(S473)')	0.61229
('191924 612', 'clName: RVH-421', 'timePoint: 10', 'variable: p-mTOR(S2448)')	1.4057
('191925 613', 'clName: RVH-421', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	1.4337
('191926 614', 'clName: RVH-421', 'timePoint: 10', 'variable: p-p70S6K(T389)')	1.6291
('191927 615', 'clName: RVH-421', 'timePoint: 10', 'variable: p-S6(S235/236)')	1.7646
('191928 616', 'clName: RVH-421', 'timePoint: 10', 'variable: p-AMPK(T172)')	1.4543
('191929 617', 'clName: RVH-421', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	1.4082
('191930 618', 'clName: RVH-421', 'timePoint: 10', 'variable: Total c-Jun')	
('191931 619', 'clName: RVH-421', 'timePoint: 10', 'variable: p-cJun(S63)')	
('191932 620', 'clName: RVH-421', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	
('191933 621', 'clName: RVH-421', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.77342
('191934 622', 'clName: RVH-421', 'timePoint: 10', 'variable: p-NFKB(S536)')	0.44518
('191935 623', 'clName: RVH-421', 'timePoint: 10', 'variable: Bim')	0.41463
('191936 624', 'clName: RVH-421', 'timePoint: 10', 'variable: cPARP')	0.16856
('191937 625', 'clName: RVH-421', 'timePoint: 10', 'variable: p-Histone H3(S10)')	
('191938 626', 'clName: RVH-421', 'timePoint: 10', 'variable: p27 Kip1')	
('191939 627', 'clName: RVH-421', 'timePoint: 24', 'variable: p-p90RSK(S380)')	
('191940 628', 'clName: RVH-421', 'timePoint: 24', 'variable: p-p90RSK(T573)')	
('191941 629', 'clName: RVH-421', 'timePoint: 24', 'variable: p-AKT(T308)')	-0.39409
('191942 630', 'clName: RVH-421', 'timePoint: 24', 'variable: p-AKT(S473)')	
('191943 631', 'clName: RVH-421', 'timePoint: 24', 'variable: p-mTOR(S2448)')	
('191944 632', 'clName: RVH-421', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	1.3735
('191945 633', 'clName: RVH-421', 'timePoint: 24', 'variable: p-p70S6K(T389)')	
('191946 634', 'clName: RVH-421', 'timePoint: 24', 'variable: p-S6(S235/236)')	1.534
('191947 635', 'clName: RVH-421', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.66423
('191948 636', 'clName: RVH-421', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-0.56908
('191949 637', 'clName: RVH-421', 'timePoint: 24', 'variable: Total c-Jun')	-1.2441
('191950 638', 'clName: RVH-421', 'timePoint: 24', 'variable: p-cJun(S63)')	-0.50516
('191951 639', 'clName: RVH-421', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	
('191952 640', 'clName: RVH-421', 'timePoint: 24', 'variable: p-HSP27(S82)')	
('191953 641', 'clName: RVH-421', 'timePoint: 24', 'variable: p-NFKB(S536)')	-1.5242
('191954 642', 'clName: RVH-421', 'timePoint: 24', 'variable: Bim')	-1.3256
('191955 643', 'clName: RVH-421', 'timePoint: 24', 'variable: cPARP')	-1.3352
('191956 644', 'clName: RVH-421', 'timePoint: 24', 'variable: p-Histone H3(S10)')	0.81086
('191957 645', 'clName: RVH-421', 'timePoint: 24', 'variable: p27 Kip1')	-1.451
('191958 646', 'clName: RVH-421', 'timePoint: 48', 'variable: p-p90RSK(S380)')	-0.60222
('191959 647', 'clName: RVH-421', 'timePoint: 48', 'variable: p-p90RSK(T573)')	
('191960 648', 'clName: RVH-421', 'timePoint: 48', 'variable: p-AKT(T308)')	-0.79373
('191961 649', 'clName: RVH-421', 'timePoint: 48', 'variable: p-AKT(S473)')	0.49185
('191962 650', 'clName: RVH-421', 'timePoint: 48', 'variable: p-mTOR(S2448)')	
('191963 651', 'clName: RVH-421', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	1.1251
('191964 652', 'clName: RVH-421', 'timePoint: 48', 'variable: p-p70S6K(T389)')	
('191965 653', 'clName: RVH-421', 'timePoint: 48', 'variable: p-S6(S235/236)')	1.2451
('191966 654', 'clName: RVH-421', 'timePoint: 48', 'variable: p-AMPK(T172)')	-0.6772
('191967 655', 'clName: RVH-421', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	-1.5508
('191968 656', 'clName: RVH-421', 'timePoint: 48', 'variable: Total c-Jun')	-1.7876
('191969 657', 'clName: RVH-421', 'timePoint: 48', 'variable: p-cJun(S63)')	-1.1707
('191970 658', 'clName: RVH-421', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	
('191971 659', 'clName: RVH-421', 'timePoint: 48', 'variable: p-HSP27(S82)')	
('191972 660', 'clName: RVH-421', 'timePoint: 48', 'variable: p-NFKB(S536)')	-0.5505
('191973 661', 'clName: RVH-421', 'timePoint: 48', 'variable: Bim')	-1.6476
('191974 662', 'clName: RVH-421', 'timePoint: 48', 'variable: cPARP')	-1.3625
('191975 663', 'clName: RVH-421', 'timePoint: 48', 'variable: p-Histone H3(S10)')	2.0813
('191976 664', 'clName: RVH-421', 'timePoint: 48', 'variable: p27 Kip1')	-1.59
('191977 665', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-p90RSK(S380)')	1.0417
('191978 666', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.41264
('191979 667', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-AKT(T308)')	
('191980 668', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-AKT(S473)')	0.61843
('191981 669', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.61188
('191982 670', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	1.2096
('191983 671', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.60277
('191984 672', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.58875
('191985 673', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-AMPK(T172)')	
('191986 674', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	1.0784
('191987 675', 'clName: SKMEL28', 'timePoint: 1', 'variable: Total c-Jun')	0.59367
('191988 676', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-cJun(S63)')	0.56096
('191989 677', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	0.58098
('191990 678', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.69218
('191991 679', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.35365
('191992 680', 'clName: SKMEL28', 'timePoint: 1', 'variable: Bim')	0.36643
('191993 681', 'clName: SKMEL28', 'timePoint: 1', 'variable: cPARP')	0.47894
('191994 682', 'clName: SKMEL28', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.33634
('191995 683', 'clName: SKMEL28', 'timePoint: 1', 'variable: p27 Kip1')	0.41783
('191996 684', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-p90RSK(S380)')	0.45569
('191997 685', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-0.56904
('191998 686', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-AKT(T308)')	
('191999 687', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-AKT(S473)')	-0.99542
('192000 688', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-mTOR(S2448)')	
('192001 689', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-0.7873
('192002 690', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-p70S6K(T389)')	
('192003 691', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.52224
('192004 692', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.4942
('192005 693', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	
('192006 694', 'clName: SKMEL28', 'timePoint: 5', 'variable: Total c-Jun')	0.83264
('192007 695', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-cJun(S63)')	-1.0139
('192008 696', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	
('192009 697', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-HSP27(S82)')	
('192010 698', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-NFKB(S536)')	
('192011 699', 'clName: SKMEL28', 'timePoint: 5', 'variable: Bim')	-0.59177
('192012 700', 'clName: SKMEL28', 'timePoint: 5', 'variable: cPARP')	-0.57451
('192013 701', 'clName: SKMEL28', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.18617
('192014 702', 'clName: SKMEL28', 'timePoint: 5', 'variable: p27 Kip1')	
('192015 703', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-p90RSK(S380)')	1.5846
('192016 704', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.66327
('192017 705', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-AKT(T308)')	
('192018 706', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-AKT(S473)')	0.67691
('192019 707', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-mTOR(S2448)')	0.85779
('192020 708', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	1.2257
('192021 709', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-p70S6K(T389)')	1.2488
('192022 710', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-S6(S235/236)')	1.4038
('192023 711', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-AMPK(T172)')	0.6014
('192024 712', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	1.128
('192025 713', 'clName: SKMEL28', 'timePoint: 10', 'variable: Total c-Jun')	1.6522
('192026 714', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-cJun(S63)')	0.59615
('192027 715', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	0.65581
('192028 716', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.53442
('192029 717', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-NFKB(S536)')	1.492
('192030 718', 'clName: SKMEL28', 'timePoint: 10', 'variable: Bim')	-0.16529
('192031 719', 'clName: SKMEL28', 'timePoint: 10', 'variable: cPARP')	0.28001
('192032 720', 'clName: SKMEL28', 'timePoint: 10', 'variable: p-Histone H3(S10)')	
('192033 721', 'clName: SKMEL28', 'timePoint: 10', 'variable: p27 Kip1')	-0.51507
('192034 722', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-p90RSK(S380)')	0.21054
('192035 723', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-p90RSK(T573)')	
('192036 724', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-AKT(T308)')	
('192037 725', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-AKT(S473)')	
('192038 726', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-mTOR(S2448)')	1.8551
('192039 727', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	1.6584
('192040 728', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-p70S6K(T389)')	1.5042
('192041 729', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-S6(S235/236)')	
('192042 730', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.37196
('192043 731', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	
('192044 732', 'clName: SKMEL28', 'timePoint: 24', 'variable: Total c-Jun')	
('192045 733', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-cJun(S63)')	-0.5919
('192046 734', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	
('192047 735', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-HSP27(S82)')	
('192048 736', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-NFKB(S536)')	1.3887
('192049 737', 'clName: SKMEL28', 'timePoint: 24', 'variable: Bim')	-0.6898
('192050 738', 'clName: SKMEL28', 'timePoint: 24', 'variable: cPARP')	-1.2071
('192051 739', 'clName: SKMEL28', 'timePoint: 24', 'variable: p-Histone H3(S10)')	2.1675
('192052 740', 'clName: SKMEL28', 'timePoint: 24', 'variable: p27 Kip1')	-1.5216
('192053 741', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-p90RSK(S380)')	1.1392
('192054 742', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-p90RSK(T573)')	1.2806
('192055 743', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-AKT(T308)')	
('192056 744', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-AKT(S473)')	
('192057 745', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-mTOR(S2448)')	1.2971
('192058 746', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	0.71737
('192059 747', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-p70S6K(T389)')	1.0817
('192060 748', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-S6(S235/236)')	
('192061 749', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-AMPK(T172)')	-0.84624
('192062 750', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	
('192063 751', 'clName: SKMEL28', 'timePoint: 48', 'variable: Total c-Jun')	-0.73459
('192064 752', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-cJun(S63)')	-0.98814
('192065 753', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	0.61775
('192066 754', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-HSP27(S82)')	
('192067 755', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-NFKB(S536)')	1.3318
('192068 756', 'clName: SKMEL28', 'timePoint: 48', 'variable: Bim')	
('192069 757', 'clName: SKMEL28', 'timePoint: 48', 'variable: cPARP')	-1.3751
('192070 758', 'clName: SKMEL28', 'timePoint: 48', 'variable: p-Histone H3(S10)')	2.1989
('192071 759', 'clName: SKMEL28', 'timePoint: 48', 'variable: p27 Kip1')	-2.2192
('192072 760', 'clName: WM-115', 'timePoint: 1', 'variable: p-p90RSK(S380)')	1.2269
('192073 761', 'clName: WM-115', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.35229
('192074 762', 'clName: WM-115', 'timePoint: 1', 'variable: p-AKT(T308)')	0.93461
('192075 763', 'clName: WM-115', 'timePoint: 1', 'variable: p-AKT(S473)')	
('192076 764', 'clName: WM-115', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.62683
('192077 765', 'clName: WM-115', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	0.97563
('192078 766', 'clName: WM-115', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.74367
('192079 767', 'clName: WM-115', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.43608
('192080 768', 'clName: WM-115', 'timePoint: 1', 'variable: p-AMPK(T172)')	
('192081 769', 'clName: WM-115', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	1.5297
('192082 770', 'clName: WM-115', 'timePoint: 1', 'variable: Total c-Jun')	0.8563
('192083 771', 'clName: WM-115', 'timePoint: 1', 'variable: p-cJun(S63)')	
('192084 772', 'clName: WM-115', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	1.3195
('192085 773', 'clName: WM-115', 'timePoint: 1', 'variable: p-HSP27(S82)')	-0.33793
('192086 774', 'clName: WM-115', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.41587
('192087 775', 'clName: WM-115', 'timePoint: 1', 'variable: Bim')	0.93658
('192088 776', 'clName: WM-115', 'timePoint: 1', 'variable: cPARP')	0.77093
('192089 777', 'clName: WM-115', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.42351
('192090 778', 'clName: WM-115', 'timePoint: 1', 'variable: p27 Kip1')	0.67655
('192091 779', 'clName: WM-115', 'timePoint: 5', 'variable: p-p90RSK(S380)')	0.89933
('192092 780', 'clName: WM-115', 'timePoint: 5', 'variable: p-p90RSK(T573)')	
('192093 781', 'clName: WM-115', 'timePoint: 5', 'variable: p-AKT(T308)')	-0.79027
('192094 782', 'clName: WM-115', 'timePoint: 5', 'variable: p-AKT(S473)')	-0.81455
('192095 783', 'clName: WM-115', 'timePoint: 5', 'variable: p-mTOR(S2448)')	0.4296
('192096 784', 'clName: WM-115', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-0.17204
('192097 785', 'clName: WM-115', 'timePoint: 5', 'variable: p-p70S6K(T389)')	
('192098 786', 'clName: WM-115', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.6595
('192099 787', 'clName: WM-115', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.42314
('192100 788', 'clName: WM-115', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	
('192101 789', 'clName: WM-115', 'timePoint: 5', 'variable: Total c-Jun')	0.61828
('192102 790', 'clName: WM-115', 'timePoint: 5', 'variable: p-cJun(S63)')	-0.46479
('192103 791', 'clName: WM-115', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	0.70534
('192104 792', 'clName: WM-115', 'timePoint: 5', 'variable: p-HSP27(S82)')	0.088223
('192105 793', 'clName: WM-115', 'timePoint: 5', 'variable: p-NFKB(S536)')	-0.16998
('192106 794', 'clName: WM-115', 'timePoint: 5', 'variable: Bim')	-0.8178
('192107 795', 'clName: WM-115', 'timePoint: 5', 'variable: cPARP')	
('192108 796', 'clName: WM-115', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.94266
('192109 797', 'clName: WM-115', 'timePoint: 5', 'variable: p27 Kip1')	0.42857
('192110 798', 'clName: WM-115', 'timePoint: 10', 'variable: p-p90RSK(S380)')	1.1397
('192111 799', 'clName: WM-115', 'timePoint: 10', 'variable: p-p90RSK(T573)')	
('192112 800', 'clName: WM-115', 'timePoint: 10', 'variable: p-AKT(T308)')	-0.68812
('192113 801', 'clName: WM-115', 'timePoint: 10', 'variable: p-AKT(S473)')	-0.52788
('192114 802', 'clName: WM-115', 'timePoint: 10', 'variable: p-mTOR(S2448)')	0.65551
('192115 803', 'clName: WM-115', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	0.51143
('192116 804', 'clName: WM-115', 'timePoint: 10', 'variable: p-p70S6K(T389)')	1.0162
('192117 805', 'clName: WM-115', 'timePoint: 10', 'variable: p-S6(S235/236)')	0.90692
('192118 806', 'clName: WM-115', 'timePoint: 10', 'variable: p-AMPK(T172)')	0.36597
('192119 807', 'clName: WM-115', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	0.88221
('192120 808', 'clName: WM-115', 'timePoint: 10', 'variable: Total c-Jun')	-1.3594
('192121 809', 'clName: WM-115', 'timePoint: 10', 'variable: p-cJun(S63)')	
('192122 810', 'clName: WM-115', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	0.509
('192123 811', 'clName: WM-115', 'timePoint: 10', 'variable: p-HSP27(S82)')	-0.22354
('192124 812', 'clName: WM-115', 'timePoint: 10', 'variable: p-NFKB(S536)')	0.5029
('192125 813', 'clName: WM-115', 'timePoint: 10', 'variable: Bim')	-0.30135
('192126 814', 'clName: WM-115', 'timePoint: 10', 'variable: cPARP')	0.67536
('192127 815', 'clName: WM-115', 'timePoint: 10', 'variable: p-Histone H3(S10)')	-0.77003
('192128 816', 'clName: WM-115', 'timePoint: 10', 'variable: p27 Kip1')	0.43586
('192129 817', 'clName: WM-115', 'timePoint: 24', 'variable: p-p90RSK(S380)')	0.5204
('192130 818', 'clName: WM-115', 'timePoint: 24', 'variable: p-p90RSK(T573)')	
('192131 819', 'clName: WM-115', 'timePoint: 24', 'variable: p-AKT(T308)')	-0.79026
('192132 820', 'clName: WM-115', 'timePoint: 24', 'variable: p-AKT(S473)')	-0.68794
('192133 821', 'clName: WM-115', 'timePoint: 24', 'variable: p-mTOR(S2448)')	-0.40411
('192134 822', 'clName: WM-115', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	-0.40436
('192135 823', 'clName: WM-115', 'timePoint: 24', 'variable: p-p70S6K(T389)')	
('192136 824', 'clName: WM-115', 'timePoint: 24', 'variable: p-S6(S235/236)')	1.8138
('192137 825', 'clName: WM-115', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.88057
('192138 826', 'clName: WM-115', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	
('192139 827', 'clName: WM-115', 'timePoint: 24', 'variable: Total c-Jun')	-1.1573
('192140 828', 'clName: WM-115', 'timePoint: 24', 'variable: p-cJun(S63)')	-0.80333
('192141 829', 'clName: WM-115', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	
('192142 830', 'clName: WM-115', 'timePoint: 24', 'variable: p-HSP27(S82)')	-0.4255
('192143 831', 'clName: WM-115', 'timePoint: 24', 'variable: p-NFKB(S536)')	-0.47474
('192144 832', 'clName: WM-115', 'timePoint: 24', 'variable: Bim')	
('192145 833', 'clName: WM-115', 'timePoint: 24', 'variable: cPARP')	0.48989
('192146 834', 'clName: WM-115', 'timePoint: 24', 'variable: p-Histone H3(S10)')	
('192147 835', 'clName: WM-115', 'timePoint: 24', 'variable: p27 Kip1')	-0.39922
('192148 836', 'clName: WM-115', 'timePoint: 48', 'variable: p-p90RSK(S380)')	1.6033
('192149 837', 'clName: WM-115', 'timePoint: 48', 'variable: p-p90RSK(T573)')	1.03
('192150 838', 'clName: WM-115', 'timePoint: 48', 'variable: p-AKT(T308)')	-0.89141
('192151 839', 'clName: WM-115', 'timePoint: 48', 'variable: p-AKT(S473)')	-0.24656
('192152 840', 'clName: WM-115', 'timePoint: 48', 'variable: p-mTOR(S2448)')	0.61967
('192153 841', 'clName: WM-115', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	2.0274
('192154 842', 'clName: WM-115', 'timePoint: 48', 'variable: p-p70S6K(T389)')	1.8257
('192155 843', 'clName: WM-115', 'timePoint: 48', 'variable: p-S6(S235/236)')	1.8616
('192156 844', 'clName: WM-115', 'timePoint: 48', 'variable: p-AMPK(T172)')	-0.91522
('192157 845', 'clName: WM-115', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	0.65144
('192158 846', 'clName: WM-115', 'timePoint: 48', 'variable: Total c-Jun')	-2.1836
('192159 847', 'clName: WM-115', 'timePoint: 48', 'variable: p-cJun(S63)')	-1.5545
('192160 848', 'clName: WM-115', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	0.8708
('192161 849', 'clName: WM-115', 'timePoint: 48', 'variable: p-HSP27(S82)')	0.72441
('192162 850', 'clName: WM-115', 'timePoint: 48', 'variable: p-NFKB(S536)')	1.0574
('192163 851', 'clName: WM-115', 'timePoint: 48', 'variable: Bim')	
('192164 852', 'clName: WM-115', 'timePoint: 48', 'variable: cPARP')	
('192165 853', 'clName: WM-115', 'timePoint: 48', 'variable: p-Histone H3(S10)')	3.5739
('192166 854', 'clName: WM-115', 'timePoint: 48', 'variable: p27 Kip1')	-1.1015
('192167 855', 'clName: WM1552C', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.81016
('192168 856', 'clName: WM1552C', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.48146
('192169 857', 'clName: WM1552C', 'timePoint: 1', 'variable: p-AKT(T308)')	0.52449
('192170 858', 'clName: WM1552C', 'timePoint: 1', 'variable: p-AKT(S473)')	
('192171 859', 'clName: WM1552C', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.68414
('192172 860', 'clName: WM1552C', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	1.0231
('192173 861', 'clName: WM1552C', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.80114
('192174 862', 'clName: WM1552C', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.42843
('192175 863', 'clName: WM1552C', 'timePoint: 1', 'variable: p-AMPK(T172)')	0.97605
('192176 864', 'clName: WM1552C', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	1.0626
('192177 865', 'clName: WM1552C', 'timePoint: 1', 'variable: Total c-Jun')	0.6184
('192178 866', 'clName: WM1552C', 'timePoint: 1', 'variable: p-cJun(S63)')	0.85042
('192179 867', 'clName: WM1552C', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	0.9603
('192180 868', 'clName: WM1552C', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.81144
('192181 869', 'clName: WM1552C', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.74671
('192182 870', 'clName: WM1552C', 'timePoint: 1', 'variable: Bim')	0.73961
('192183 871', 'clName: WM1552C', 'timePoint: 1', 'variable: cPARP')	0.79246
('192184 872', 'clName: WM1552C', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.2496
('192185 873', 'clName: WM1552C', 'timePoint: 1', 'variable: p27 Kip1')	
('192186 874', 'clName: WM1552C', 'timePoint: 5', 'variable: p-p90RSK(S380)')	
