	('totalNumberofCells(Nuclei) 0',)	('numberofApoptoticCells 1',)	('relativeViability 2',)	('meanRelativeViability 3',)	('apoptosisFraction 4',)	('meanApoptosisFraction 5',)
('Selumetinib 2315', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 4')	3656.0	297.0	0.65152	0.63465	0.081236	0.081355
('Selumetinib 2316', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 1')	2785.0	236.0	1.0173	1.0289	0.08474	0.087555
('Selumetinib 2317', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 2')	2866.0	259.0	1.0405	1.0289	0.09037	0.087555
('Selumetinib 2318', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 3')						
('Selumetinib 2319', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 4')						
('Selumetinib 2320', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 1')	2627.0	221.0	0.76535	0.76106	0.084126	0.075257
('Selumetinib 2321', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 2')	2662.0	164.0	0.79462	0.76106	0.061608	0.075257
('Selumetinib 2322', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 3')	2374.0	162.0	0.70364	0.76106	0.068239	0.075257
('Selumetinib 2323', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 4')	2688.0	234.0	0.78062	0.76106	0.087054	0.075257
('Selumetinib 2324', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 1')	3099.0	292.0	0.54445	0.52598	0.094224	0.10442
('Selumetinib 2325', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 2')	3155.0	340.0	0.54601	0.52598	0.10777	0.10442
('Selumetinib 2326', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 3')	2975.0	331.0	0.51284	0.52598	0.11126	0.10442
('Selumetinib 2327', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 4')	2882.0	301.0	0.50062	0.52598	0.10444	0.10442
('Selumetinib 2328', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 1')	2955.0	335.0	1.0457	1.0611	0.11337	0.11163
('Selumetinib 2329', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 2')	3030.0	333.0	1.0764	1.0611	0.1099	0.11163
('Selumetinib 2330', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 3')						
('Selumetinib 2331', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 4')						
('Selumetinib 2332', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 1')	2414.0	211.0	0.70078	0.67588	0.087407	0.076466
('Selumetinib 2333', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 2')	2327.0	157.0	0.69028	0.67588	0.067469	0.076466
('Selumetinib 2334', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 3')	2155.0	111.0	0.6502	0.67588	0.051508	0.076466
('Selumetinib 2335', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 4')	2312.0	230.0	0.66229	0.67588	0.099481	0.076466
('Selumetinib 2336', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 1')	2803.0	392.0	0.46764	0.44049	0.13985	0.14552
('Selumetinib 2337', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 2')	2855.0	403.0	0.4756	0.44049	0.14116	0.14552
('Selumetinib 2338', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 3')	2394.0	350.0	0.39646	0.44049	0.1462	0.14552
('Selumetinib 2339', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 4')	2576.0	399.0	0.42226	0.44049	0.15489	0.14552
('Selumetinib 2340', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 1')	2532.0	218.0	0.92356	0.9471	0.086098	0.08034
('Selumetinib 2341', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 2')	2628.0	196.0	0.97065	0.9471	0.074581	0.08034
('Selumetinib 2342', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 3')						
('Selumetinib 2343', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 4')						
('Selumetinib 2344', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 1')	2340.0	215.0	0.67596	0.6774	0.09188	0.10028
('Selumetinib 2345', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 2')	2400.0	176.0	0.70746	0.6774	0.073333	0.10028
('Selumetinib 2346', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 3')	2462.0	274.0	0.696	0.6774	0.11129	0.10028
('Selumetinib 2347', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 4')	2263.0	282.0	0.63016	0.6774	0.12461	0.10028
('Selumetinib 2348', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 1')	2925.0	578.0	0.45523	0.41057	0.19761	0.19023
('Selumetinib 2349', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 2')	2940.0	569.0	0.45989	0.41057	0.19354	0.19023
('Selumetinib 2350', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 3')	2160.0	402.0	0.34099	0.41057	0.18611	0.19023
('Selumetinib 2351', 'smCenterCompoundID: 10056.0', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 4')	2439.0	448.0	0.38618	0.41057	0.18368	0.19023
('PLX4032 2352', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 1')	2320.0	166.0	0.8597	0.91956	0.071552	0.061665
('PLX4032 2353', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 2')	2588.0	134.0	0.97943	0.91956	0.051777	0.061665
('PLX4032 2354', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 3')						
('PLX4032 2355', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 4')						
('PLX4032 2356', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 1')	3144.0	254.0	0.91931	0.92472	0.080789	0.078027
('PLX4032 2357', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 2')	3159.0	222.0	0.93426	0.92472	0.070275	0.078027
('PLX4032 2358', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 3')	3105.0	222.0	0.91709	0.92472	0.071498	0.078027
('PLX4032 2359', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 4')	3205.0	287.0	0.92822	0.92472	0.089548	0.078027
('PLX4032 2360', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 1')	6258.0	509.0	1.1151	1.063	0.081336	0.087987
('PLX4032 2361', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 2')	6659.0	587.0	1.1777	1.063	0.088151	0.087987
('PLX4032 2362', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 3')	5424.0	514.0	0.95236	1.063	0.094764	0.087987
('PLX4032 2363', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 4')	5690.0	499.0	1.0069	1.063	0.087698	0.087987
('PLX4032 2364', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 1')	2678.0	181.0	0.99659	0.96925	0.067588	0.06554
('PLX4032 2365', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 2')	2520.0	160.0	0.94192	0.96925	0.063492	0.06554
('PLX4032 2366', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 3')						
('PLX4032 2367', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 4')						
('PLX4032 2368', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 1')	3589.0	247.0	1.0631	1.0025	0.068821	0.070071
('PLX4032 2369', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 2')	3234.0	185.0	0.96989	1.0025	0.057205	0.070071
('PLX4032 2370', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 3')	3326.0	272.0	0.97148	1.0025	0.08178	0.070071
('PLX4032 2371', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 4')	3408.0	247.0	1.0055	1.0025	0.072477	0.070071
('PLX4032 2372', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 1')	6333.0	428.0	1.1454	1.1384	0.067583	0.075644
('PLX4032 2373', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 2')	6677.0	400.0	1.2175	1.1384	0.059907	0.075644
('PLX4032 2374', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 3')	5829.0	522.0	1.0294	1.1384	0.089552	0.075644
('PLX4032 2375', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 4')	6547.0	560.0	1.1613	1.1384	0.085535	0.075644
('PLX4032 2376', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 1')	2345.0	138.0	0.88085	0.91238	0.058849	0.060178
('PLX4032 2377', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 2')	2520.0	155.0	0.94391	0.91238	0.061508	0.060178
('PLX4032 2378', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 3')						
('PLX4032 2379', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 4')						
('PLX4032 2380', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 1')	3503.0	238.0	1.0386	1.0084	0.067942	0.068814
('PLX4032 2381', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 2')	3288.0	183.0	0.9877	1.0084	0.055657	0.068814
('PLX4032 2382', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 3')	3173.0	239.0	0.93331	1.0084	0.075323	0.068814
('PLX4032 2383', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 4')	3655.0	279.0	1.0739	1.0084	0.076334	0.068814
('PLX4032 2384', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 1')	7052.0	542.0	1.2627	1.1735	0.076858	0.073306
('PLX4032 2385', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 2')	7084.0	433.0	1.29	1.1735	0.061124	0.073306
('PLX4032 2386', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 3')	6209.0	494.0	1.1085	1.1735	0.079562	0.073306
('PLX4032 2387', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 4')	5761.0	436.0	1.0329	1.1735	0.075681	0.073306
('PLX4032 2388', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 1')	2698.0	168.0	1.0098	1.0575	0.062268	0.066537
('PLX4032 2389', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 2')	2980.0	211.0	1.1052	1.0575	0.070805	0.066537
('PLX4032 2390', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 3')						
('PLX4032 2391', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 4')						
('PLX4032 2392', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 1')	3350.0	211.0	0.99852	1.0001	0.062985	0.068449
('PLX4032 2393', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 2')	3491.0	193.0	1.0491	1.0001	0.055285	0.068449
('PLX4032 2394', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 3')	3451.0	273.0	1.0109	1.0001	0.079108	0.068449
('PLX4032 2395', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 4')	3206.0	245.0	0.9419	1.0001	0.076419	0.068449
('PLX4032 2396', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 1')	7462.0	516.0	1.3473	1.2023	0.06915	0.066765
('PLX4032 2397', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 2')	7014.0	424.0	1.2782	1.2023	0.060451	0.066765
('PLX4032 2398', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 3')	6022.0	406.0	1.0893	1.2023	0.067419	0.066765
('PLX4032 2399', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 4')	6068.0	425.0	1.0945	1.2023	0.07004	0.066765
('PLX4032 2400', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 1')	2751.0	212.0	1.0134	1.0315	0.077063	0.068217
('PLX4032 2401', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 2')	2796.0	166.0	1.0497	1.0315	0.059371	0.068217
('PLX4032 2402', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 3')						
('PLX4032 2403', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 4')						
('PLX4032 2404', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 1')	3378.0	181.0	1.017	1.0577	0.053582	0.062963
('PLX4032 2405', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 2')	3382.0	203.0	1.0112	1.0577	0.060024	0.062963
('PLX4032 2406', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 3')	3892.0	293.0	1.1448	1.0577	0.075283	0.062963
('PLX4032 2407', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 4')						
('PLX4032 2408', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 1')	6472.0	434.0	1.1711	1.0551	0.067058	0.067114
('PLX4032 2409', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 2')	6066.0	368.0	1.1052	1.0551	0.060666	0.067114
('PLX4032 2410', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 3')	5504.0	395.0	0.99096	1.0551	0.071766	0.067114
('PLX4032 2411', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 4')	5278.0	364.0	0.95313	1.0551	0.068966	0.067114
('PLX4032 2412', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 1')	2650.0	218.0	0.97065	0.98741	0.082264	0.074515
('PLX4032 2413', 'smCenterCompoundID: 10068.0', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: WM1552C', 'clCenterSpecificID: 50568', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 2')	2696.0	180.0	1.0042	0.98741	0.066766	0.074515
