	('measuredpERK(Alexa488) 0',)	('measuredp-Rb(Alexa568) 1',)	('alexaFluor647 2',)	('measuredp-Akt/p-4EBP1/p-S6(Alexa647) 3',)
('92895 1545', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	528.92	125.83		107.96
('92896 1546', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	249.08	56.47		21.817
('92897 1547', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	507.93	108.62		101.35
('92898 1548', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	192.1	43.068		19.917
('92899 1549', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	289.95	126.36		82.402
('92900 1550', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 0.422', 'concUnits: nM', 'timepoint: 6')	257.64	55.79		25.112
('92901 1551', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 0.422', 'concUnits: nM', 'timepoint: 24')	286.3	107.38		59.028
('92902 1552', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	508.86	99.246		61.874
('92903 1553', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	318.88	109.27		69.771
('92904 1554', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	283.02	85.047		33.495
('92905 1555', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	297.41	116.46		57.9
('92906 1556', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	247.28	82.461		41.773
('92907 1557', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	305.07	109.15		57.573
('92908 1558', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	182.51	40.616		20.248
('92909 1559', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	277.21	100.98		71.522
('92910 1560', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	404.76	165.56		42.14
('92911 1561', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	320.67	141.23		42.953
('92912 1562', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 0.422', 'concUnits: nM', 'timepoint: 6')	475.26	169.6		43.487
('92913 1563', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 0.422', 'concUnits: nM', 'timepoint: 24')	365.79	140.07		43.544
('92914 1564', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	423.39	173.44		43.102
('92915 1565', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	295.07	128.13		36.062
('92916 1566', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	367.98	149.68		38.173
('92917 1567', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	261.7	136.39		33.762
('92918 1568', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	369.63	150.94		38.312
('92919 1569', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	240.51	127.13		30.946
('92920 1570', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	341.01	143.37		32.479
('92921 1571', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	238.1	132.7		28.379
('92922 1572', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	175.01	94.61		101.23
('92923 1573', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	161.75	107.53		77.425
('92924 1574', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 0.422', 'concUnits: nM', 'timepoint: 6')	176.07	86.719		75.194
('92925 1575', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 0.422', 'concUnits: nM', 'timepoint: 24')	158.96	96.96		55.131
('92926 1576', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	184.41	88.093		94.575
('92927 1577', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	160.94	91.557		64.771
('92928 1578', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	94.756	36.381		11.531
('92929 1579', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	165.97	97.23		50.672
('92930 1580', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	99.795	56.124		19.638
('92931 1581', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	155.67	91.704		61.291
('92932 1582', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 6')	101.85	62.114		17.347
('92933 1583', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 3.16', 'concUnits: nM', 'timepoint: 24')	149.56	95.039		40.604
('92934 1584', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	313.57	67.91		32.33
('92935 1585', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	588.35	123.02		145.47
('92936 1586', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 1.78', 'concUnits: nM', 'timepoint: 6')	268.73	51.039		19.4
('92937 1587', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 1.78', 'concUnits: nM', 'timepoint: 24')	469.76	104.61		74.05
('92938 1588', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	392.75	84.727		40.602
('92939 1589', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	474.17	114.89		84.768
('92940 1590', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	400.16	81.544		34.73
('92941 1591', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	408.17	116.09		54.774
('92942 1592', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	253.31	66.34		19.837
('92943 1593', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	534.07	122.93		101.43
('92944 1594', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	261.82	58.526		20.857
('92945 1595', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	502.62	93.938		79.657
('92946 1596', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	313.8	77.996		32.802
('92947 1597', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	309.05	123.62		79.387
('92948 1598', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 1.78', 'concUnits: nM', 'timepoint: 6')	242.69	61.927		24.561
('92949 1599', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 1.78', 'concUnits: nM', 'timepoint: 24')	275.43	109.55		57.555
('92950 1600', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	469.32	101.0		64.803
('92951 1601', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	354.94	111.51		64.333
('92952 1602', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	282.65	82.138		25.777
('92953 1603', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	302.34	113.64		47.577
('92954 1604', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	236.96	79.737		39.316
('92955 1605', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	290.45	102.11		53.036
('92956 1606', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	192.04	59.354		27.504
('92957 1607', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: HCC1954', 'clCenterSpecificID: 50213', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	259.87	90.979		60.686
('92958 1608', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	407.34	172.62		42.114
('92959 1609', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	322.66	158.49		38.541
('92960 1610', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 1.78', 'concUnits: nM', 'timepoint: 6')	458.96	166.9		40.675
('92961 1611', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 1.78', 'concUnits: nM', 'timepoint: 24')	344.89	145.25		35.227
('92962 1612', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	416.96	171.76		38.134
('92963 1613', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	306.91	140.32		31.961
('92964 1614', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	379.78	154.15		32.937
('92965 1615', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	298.59	144.01		29.483
('92966 1616', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	380.71	155.18		33.022
('92967 1617', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	252.44	141.63		25.747
('92968 1618', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	346.24	150.32		33.45
('92969 1619', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	239.96	138.65		26.457
('92970 1620', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	179.23	94.935		102.93
('92971 1621', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	165.83	104.92		78.432
('92972 1622', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 1.78', 'concUnits: nM', 'timepoint: 6')	176.33	81.248		63.032
('92973 1623', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 1.78', 'concUnits: nM', 'timepoint: 24')	158.31	90.248		46.792
('92974 1624', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	162.7	85.506		87.748
('92975 1625', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	160.21	92.331		59.318
('92976 1626', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	94.039	32.483		9.3508
('92977 1627', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	156.26	91.795		37.496
('92978 1628', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	105.56	58.868		19.981
('92979 1629', 'smCenterCompoundID: 10280', 'smSalt: 101', 'smCenterSampleID: 1', 'smLincsID: LSM-3810', 'smName: Triciribine', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	168.74	97.328		59.123
('92980 1630', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 6')	105.88	55.02		13.4
('92981 1631', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: T47D', 'clCenterSpecificID: 50541', 'drugConcentration: 10.0', 'concUnits: nM', 'timepoint: 24')	140.23	84.773		33.737
('92982 1632', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 31.6', 'concUnits: nM', 'timepoint: 6')	286.23	60.881		29.799
('92983 1633', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 31.6', 'concUnits: nM', 'timepoint: 24')	529.81	117.15		139.91
('92984 1634', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 7.5', 'concUnits: nM', 'timepoint: 6')	240.99	44.758		15.244
('92985 1635', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 7.5', 'concUnits: nM', 'timepoint: 24')	441.84	88.6		51.743
('92986 1636', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 31.6', 'concUnits: nM', 'timepoint: 6')	274.09	69.051		27.939
('92987 1637', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 31.6', 'concUnits: nM', 'timepoint: 24')	500.89	114.2		81.591
('92988 1638', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 31.6', 'concUnits: nM', 'timepoint: 6')	395.87	81.878		27.466
('92989 1639', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smCenterSampleID: 1', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: AU565', 'clCenterSpecificID: 50091', 'drugConcentration: 31.6', 'concUnits: nM', 'timepoint: 24')	401.33	107.98		41.611
