	('cellCount 0',)	('eduPositive 1',)	('mpm2Positive 2',)	('eduPositiveNonMitotic 3',)	('eduPositiveMitotic 4',)
('35767 6264', 'smName: ', 'clName: KYSE-180', 'recordedWell: K11', 'timepoint: 1', 'assayCompoundConcentration: ')	2709.0	96.678	1.8826	96.614	100.0
('35768 6265', 'smName: ', 'clName: KYSE-180', 'recordedWell: K11', 'timepoint: 2', 'assayCompoundConcentration: ')	4998.0	91.457	0.98039	91.392	97.959
('35769 6266', 'smName: ', 'clName: KYSE-180', 'recordedWell: K11', 'timepoint: 3', 'assayCompoundConcentration: ')	5438.0	35.142	0.97462	34.54	96.226
('35770 6267', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: K12', 'timepoint: 1', 'assayCompoundConcentration: 0.000566667')	2467.0	96.433	1.4998	96.379	100.0
('35771 6268', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: K12', 'timepoint: 2', 'assayCompoundConcentration: 0.000566667')	4649.0	90.493	1.3336	90.386	98.387
('35772 6269', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: K12', 'timepoint: 3', 'assayCompoundConcentration: 0.000566667')	5350.0	36.43	1.028	35.788	98.182
('35773 6270', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K13', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	1869.0	92.295	5.7785	92.05	96.296
('35774 6271', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K13', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	2087.0	69.478	5.0311	68.315	91.429
('35775 6272', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K13', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	1957.0	21.206	4.3434	19.231	64.706
('35776 6273', 'smName: ', 'clName: KYSE-180', 'recordedWell: K14', 'timepoint: 1', 'assayCompoundConcentration: ')	2474.0	96.847	1.6168	96.836	97.5
('35777 6274', 'smName: ', 'clName: KYSE-180', 'recordedWell: K14', 'timepoint: 2', 'assayCompoundConcentration: ')	4717.0	93.025	1.4416	92.945	98.529
('35778 6275', 'smName: ', 'clName: KYSE-180', 'recordedWell: K14', 'timepoint: 3', 'assayCompoundConcentration: ')	5699.0	35.778	0.64924	35.359	100.0
('35779 6276', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K15', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	1798.0	90.823	5.6174	90.395	98.02
('35780 6277', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K15', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	2305.0	71.15	5.0759	70.155	89.744
('35781 6278', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K15', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	1774.0	23.675	4.115	21.164	82.192
('35782 6279', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K16', 'timepoint: 1', 'assayCompoundConcentration: 0.411523333')	1389.0	91.865	2.5918	91.648	100.0
('35783 6280', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K16', 'timepoint: 2', 'assayCompoundConcentration: 0.411523333')	1457.0	72.546	1.3727	72.164	100.0
('35784 6281', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K16', 'timepoint: 3', 'assayCompoundConcentration: 0.411523333')	1191.0	13.014	0.41982	12.648	100.0
('35785 6282', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K17', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	2591.0	97.414	1.9298	97.403	98.0
('35786 6283', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K17', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	4803.0	92.38	1.1451	92.291	100.0
('35787 6284', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K17', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	5570.0	33.68	1.2029	32.891	98.507
('35788 6285', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K18', 'timepoint: 1', 'assayCompoundConcentration: 0.411523333')	1466.0	93.52	3.9563	93.253	100.0
('35789 6286', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K18', 'timepoint: 2', 'assayCompoundConcentration: 0.411523333')	1481.0	72.181	1.1479	71.858	100.0
('35790 6287', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K18', 'timepoint: 3', 'assayCompoundConcentration: 0.411523333')	1134.0	15.168	0.26455	14.943	100.0
('35791 6288', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K19', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	2373.0	97.05	2.0228	96.989	100.0
('35792 6289', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K19', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	5451.0	89.91	2.0363	89.719	99.099
('35793 6290', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: K19', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	5652.0	38.924	0.79618	38.434	100.0
('35794 6291', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K20', 'timepoint: 1', 'assayCompoundConcentration: 0.001696667')	2537.0	96.098	1.7343	96.029	100.0
('35795 6292', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K20', 'timepoint: 2', 'assayCompoundConcentration: 0.001696667')	4846.0	93.046	1.7128	92.925	100.0
('35796 6293', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K20', 'timepoint: 3', 'assayCompoundConcentration: 0.001696667')	5873.0	34.684	0.78325	34.203	95.652
('35797 6294', 'smName: ', 'clName: KYSE-180', 'recordedWell: K21', 'timepoint: 1', 'assayCompoundConcentration: ')	2479.0	96.692	1.8556	96.63	100.0
('35798 6295', 'smName: ', 'clName: KYSE-180', 'recordedWell: K21', 'timepoint: 2', 'assayCompoundConcentration: ')	5053.0	93.568	1.702	93.477	98.837
('35799 6296', 'smName: ', 'clName: KYSE-180', 'recordedWell: K21', 'timepoint: 3', 'assayCompoundConcentration: ')	6241.0	39.048	1.2178	38.313	98.684
('35800 6297', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K22', 'timepoint: 1', 'assayCompoundConcentration: 0.001696667')	2621.0	97.253	2.6707	97.178	100.0
('35801 6298', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K22', 'timepoint: 2', 'assayCompoundConcentration: 0.001696667')	4720.0	93.983	1.8432	93.913	97.701
('35802 6299', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: K22', 'timepoint: 3', 'assayCompoundConcentration: 0.001696667')	6485.0	39.183	0.74017	38.729	100.0
('35803 6300', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L03', 'timepoint: 1', 'assayCompoundConcentration: 0.411523333')	2446.0	97.506	1.2674	97.474	100.0
('35804 6301', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L03', 'timepoint: 2', 'assayCompoundConcentration: 0.411523333')	4637.0	92.581	1.2077	92.491	100.0
('35805 6302', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L03', 'timepoint: 3', 'assayCompoundConcentration: 0.411523333')	5941.0	41.592	0.67329	41.196	100.0
('35806 6303', 'smName: ', 'clName: KYSE-180', 'recordedWell: L04', 'timepoint: 1', 'assayCompoundConcentration: ')	2536.0	97.082	1.2618	97.045	100.0
('35807 6304', 'smName: ', 'clName: KYSE-180', 'recordedWell: L04', 'timepoint: 2', 'assayCompoundConcentration: ')	5081.0	92.954	1.2202	92.867	100.0
('35808 6305', 'smName: ', 'clName: KYSE-180', 'recordedWell: L04', 'timepoint: 3', 'assayCompoundConcentration: ')	6054.0	39.924	1.3545	39.133	97.561
('35809 6306', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L05', 'timepoint: 1', 'assayCompoundConcentration: 0.411523333')	2412.0	97.056	1.8242	97.002	100.0
('35810 6307', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L05', 'timepoint: 2', 'assayCompoundConcentration: 0.411523333')	4753.0	92.363	1.5148	92.288	97.222
('35811 6308', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L05', 'timepoint: 3', 'assayCompoundConcentration: 0.411523333')	5618.0	35.635	0.8188	35.158	93.478
('35812 6309', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L06', 'timepoint: 1', 'assayCompoundConcentration: 0.411523333')	2539.0	96.455	1.8117	96.39	100.0
('35813 6310', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L06', 'timepoint: 2', 'assayCompoundConcentration: 0.411523333')	4645.0	90.441	1.6577	90.28	100.0
('35814 6311', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L06', 'timepoint: 3', 'assayCompoundConcentration: 0.411523333')	5081.0	34.029	1.2596	33.227	96.875
('35815 6312', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L07', 'timepoint: 1', 'assayCompoundConcentration: 0.000566667')	2431.0	97.696	2.0568	97.648	100.0
('35816 6313', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L07', 'timepoint: 2', 'assayCompoundConcentration: 0.000566667')	4566.0	92.619	1.3579	92.518	100.0
('35817 6314', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L07', 'timepoint: 3', 'assayCompoundConcentration: 0.000566667')	5445.0	35.978	0.69789	35.565	94.737
('35818 6315', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L08', 'timepoint: 1', 'assayCompoundConcentration: 0.411523333')	2544.0	97.759	2.044	97.753	98.077
('35819 6316', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L08', 'timepoint: 2', 'assayCompoundConcentration: 0.411523333')	4419.0	90.745	1.5388	90.6	100.0
('35820 6317', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L08', 'timepoint: 3', 'assayCompoundConcentration: 0.411523333')	5237.0	33.13	1.2985	32.25	100.0
('35821 6318', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L09', 'timepoint: 1', 'assayCompoundConcentration: 0.000566667')	2311.0	97.663	1.3847	97.631	100.0
('35822 6319', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L09', 'timepoint: 2', 'assayCompoundConcentration: 0.000566667')	4640.0	92.931	1.875	92.818	98.851
('35823 6320', 'smName: GW843682', 'clName: KYSE-180', 'recordedWell: L09', 'timepoint: 3', 'assayCompoundConcentration: 0.000566667')	5420.0	35.295	1.0148	34.669	96.364
('35824 6321', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L10', 'timepoint: 1', 'assayCompoundConcentration: 0.000566667')	2320.0	96.983	1.1207	96.949	100.0
('35825 6322', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L10', 'timepoint: 2', 'assayCompoundConcentration: 0.000566667')	4557.0	93.856	1.6458	93.753	100.0
('35826 6323', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L10', 'timepoint: 3', 'assayCompoundConcentration: 0.000566667')	5593.0	34.668	0.94761	34.079	96.226
('35827 6324', 'smName: ', 'clName: KYSE-180', 'recordedWell: L11', 'timepoint: 1', 'assayCompoundConcentration: ')	2404.0	97.088	1.5391	97.085	97.297
('35828 6325', 'smName: ', 'clName: KYSE-180', 'recordedWell: L11', 'timepoint: 2', 'assayCompoundConcentration: ')	4661.0	93.971	1.3946	93.886	100.0
('35829 6326', 'smName: ', 'clName: KYSE-180', 'recordedWell: L11', 'timepoint: 3', 'assayCompoundConcentration: ')	5467.0	35.321	1.1158	34.628	96.721
('35830 6327', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L12', 'timepoint: 1', 'assayCompoundConcentration: 0.000566667')	2363.0	97.038	1.3965	96.996	100.0
('35831 6328', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L12', 'timepoint: 2', 'assayCompoundConcentration: 0.000566667')	4661.0	91.332	1.5447	91.218	98.611
('35832 6329', 'smName: Tozasertib', 'clName: KYSE-180', 'recordedWell: L12', 'timepoint: 3', 'assayCompoundConcentration: 0.000566667')	5676.0	35.465	0.95137	34.845	100.0
('35833 6330', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L13', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	1358.0	93.667	2.2828	93.519	100.0
('35834 6331', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L13', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	1324.0	74.547	0.98187	74.294	100.0
('35835 6332', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L13', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	1195.0	13.724	0.75314	13.069	100.0
('35836 6333', 'smName: ', 'clName: KYSE-180', 'recordedWell: L14', 'timepoint: 1', 'assayCompoundConcentration: ')	2316.0	96.762	1.209	96.722	100.0
('35837 6334', 'smName: ', 'clName: KYSE-180', 'recordedWell: L14', 'timepoint: 2', 'assayCompoundConcentration: ')	4804.0	93.672	1.8734	93.594	97.778
('35838 6335', 'smName: ', 'clName: KYSE-180', 'recordedWell: L14', 'timepoint: 3', 'assayCompoundConcentration: ')	5325.0	35.587	1.0516	34.921	98.214
('35839 6336', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L15', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	1316.0	92.477	2.1277	92.314	100.0
('35840 6337', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L15', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	1369.0	68.59	0.73046	68.506	80.0
('35841 6338', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L15', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	1116.0	12.276	0.71685	11.643	100.0
('35842 6339', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L16', 'timepoint: 1', 'assayCompoundConcentration: 0.411523333')	703.0	80.085	33.713	75.966	88.186
('35843 6340', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L16', 'timepoint: 2', 'assayCompoundConcentration: 0.411523333')	444.0	12.838	2.027	12.644	22.222
('35844 6341', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L16', 'timepoint: 3', 'assayCompoundConcentration: 0.411523333')	212.0	16.038	1.4151	15.789	33.333
('35845 6342', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L17', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	2353.0	97.025	1.53	96.979	100.0
('35846 6343', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L17', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	4833.0	93.4	1.5311	93.318	98.649
('35847 6344', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L17', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	5553.0	34.846	1.1165	34.11	100.0
('35848 6345', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L18', 'timepoint: 1', 'assayCompoundConcentration: 0.411523333')	719.0	74.687	32.684	70.868	82.553
('35849 6346', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L18', 'timepoint: 2', 'assayCompoundConcentration: 0.411523333')	467.0	11.777	1.7131	11.547	25.0
('35850 6347', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L18', 'timepoint: 3', 'assayCompoundConcentration: 0.411523333')	169.0	17.16	0.59172	16.667	100.0
('35851 6348', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L19', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	2144.0	96.502	1.6325	96.444	100.0
('35852 6349', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L19', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	4939.0	91.658	1.8425	91.522	98.901
('35853 6350', 'smName: XMD-12', 'clName: KYSE-180', 'recordedWell: L19', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	5592.0	38.412	0.9299	37.834	100.0
('35854 6351', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L20', 'timepoint: 1', 'assayCompoundConcentration: 0.000566667')	2459.0	97.235	1.1793	97.202	100.0
('35855 6352', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L20', 'timepoint: 2', 'assayCompoundConcentration: 0.000566667')	5255.0	92.54	1.5985	92.419	100.0
('35856 6353', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L20', 'timepoint: 3', 'assayCompoundConcentration: 0.000566667')	5760.0	39.253	1.0243	38.625	100.0
('35857 6354', 'smName: ', 'clName: KYSE-180', 'recordedWell: L21', 'timepoint: 1', 'assayCompoundConcentration: ')	2244.0	97.594	1.3815	97.56	100.0
('35858 6355', 'smName: ', 'clName: KYSE-180', 'recordedWell: L21', 'timepoint: 2', 'assayCompoundConcentration: ')	5217.0	94.403	1.4568	94.34	98.684
('35859 6356', 'smName: ', 'clName: KYSE-180', 'recordedWell: L21', 'timepoint: 3', 'assayCompoundConcentration: ')	6077.0	38.029	1.0532	37.402	96.875
('35860 6357', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L22', 'timepoint: 1', 'assayCompoundConcentration: 0.000566667')	2350.0	97.234	1.7021	97.273	95.0
('35861 6358', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L22', 'timepoint: 2', 'assayCompoundConcentration: 0.000566667')	5124.0	92.994	1.3271	92.9	100.0
('35862 6359', 'smName: Taxol', 'clName: KYSE-180', 'recordedWell: L22', 'timepoint: 3', 'assayCompoundConcentration: 0.000566667')	6127.0	43.349	0.81606	42.899	98.0
('35863 6360', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M03', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	2370.0	97.004	1.2236	96.967	100.0
('35864 6361', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M03', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	4849.0	93.029	1.5467	92.92	100.0
('35865 6362', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M03', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	6085.0	44.799	1.1832	44.171	97.222
('35866 6363', 'smName: ', 'clName: KYSE-180', 'recordedWell: M04', 'timepoint: 1', 'assayCompoundConcentration: ')	2305.0	97.354	1.3015	97.319	100.0
('35867 6364', 'smName: ', 'clName: KYSE-180', 'recordedWell: M04', 'timepoint: 2', 'assayCompoundConcentration: ')	4875.0	93.046	1.4564	92.985	97.183
('35868 6365', 'smName: ', 'clName: KYSE-180', 'recordedWell: M04', 'timepoint: 3', 'assayCompoundConcentration: ')	6148.0	40.078	0.91087	39.527	100.0
('35869 6366', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M05', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	2217.0	96.797	2.3906	96.719	100.0
('35870 6367', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M05', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	4889.0	92.084	1.984	91.924	100.0
('35871 6368', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M05', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	6050.0	38.711	0.77686	38.231	100.0
('35872 6369', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M06', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	1187.0	71.525	9.1828	72.263	64.22
('35873 6370', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M06', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	892.0	18.161	4.2601	18.501	10.526
('35874 6371', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M06', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	574.0	25.958	0.87108	25.835	40.0
('35875 6372', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M07', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	2370.0	97.215	1.4346	97.175	100.0
('35876 6373', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M07', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	4729.0	94.037	1.3956	93.974	98.485
('35877 6374', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M07', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	6060.0	36.766	1.1551	36.027	100.0
('35878 6375', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M08', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	1275.0	68.314	10.667	68.042	70.588
('35879 6376', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M08', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	942.0	18.577	4.3524	18.979	9.7561
('35880 6377', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M08', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	612.0	24.183	1.1438	24.298	14.286
('35881 6378', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M09', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	2333.0	97.471	1.9288	97.421	100.0
('35882 6379', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M09', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	4355.0	92.721	1.6073	92.602	100.0
('35883 6380', 'smName: RO-3306', 'clName: KYSE-180', 'recordedWell: M09', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	5483.0	38.428	1.149	37.712	100.0
('35884 6381', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M10', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	2447.0	96.69	1.4712	96.64	100.0
('35885 6382', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M10', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	4808.0	92.991	1.9343	92.853	100.0
('35886 6383', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M10', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	5720.0	34.283	0.83916	33.727	100.0
('35887 6384', 'smName: ', 'clName: KYSE-180', 'recordedWell: M11', 'timepoint: 1', 'assayCompoundConcentration: ')	2443.0	96.848	1.8829	96.788	100.0
('35888 6385', 'smName: ', 'clName: KYSE-180', 'recordedWell: M11', 'timepoint: 2', 'assayCompoundConcentration: ')	4693.0	92.393	1.8538	92.249	100.0
('35889 6386', 'smName: ', 'clName: KYSE-180', 'recordedWell: M11', 'timepoint: 3', 'assayCompoundConcentration: ')	5532.0	39.461	1.3196	38.707	95.89
('35890 6387', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M12', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	2679.0	96.379	1.9784	96.306	100.0
('35891 6388', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M12', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	4805.0	89.324	1.6441	89.145	100.0
('35892 6389', 'smName: BI-2536', 'clName: KYSE-180', 'recordedWell: M12', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	5700.0	38.053	1.0877	37.407	96.774
('35893 6390', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M13', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	2145.0	95.478	4.3823	95.271	100.0
('35894 6391', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M13', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	3735.0	88.434	2.6506	88.229	95.96
('35895 6392', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M13', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	4773.0	34.15	1.5923	33.149	96.053
('35896 6393', 'smName: ', 'clName: KYSE-180', 'recordedWell: M14', 'timepoint: 1', 'assayCompoundConcentration: ')	2295.0	96.166	1.6122	96.103	100.0
('35897 6394', 'smName: ', 'clName: KYSE-180', 'recordedWell: M14', 'timepoint: 2', 'assayCompoundConcentration: ')	4315.0	92.654	1.5991	92.534	100.0
('35898 6395', 'smName: ', 'clName: KYSE-180', 'recordedWell: M14', 'timepoint: 3', 'assayCompoundConcentration: ')	5722.0	38.955	1.1709	38.232	100.0
('35899 6396', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M15', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	2041.0	95.541	4.9486	95.361	99.01
('35900 6397', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M15', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	3900.0	86.974	3.1026	86.637	97.521
('35901 6398', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M15', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	4767.0	35.137	1.9719	33.961	93.617
('35902 6399', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: M16', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	1483.0	94.538	2.1578	94.418	100.0
('35903 6400', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: M16', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	1404.0	74.644	1.4245	74.277	100.0
('35904 6401', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: M16', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	1325.0	14.717	1.1321	13.969	80.0
('35905 6402', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M17', 'timepoint: 1', 'assayCompoundConcentration: 6.33333e-05')	2573.0	97.163	2.0599	97.103	100.0
('35906 6403', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M17', 'timepoint: 2', 'assayCompoundConcentration: 6.33333e-05')	4822.0	93.882	1.4724	93.791	100.0
('35907 6404', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M17', 'timepoint: 3', 'assayCompoundConcentration: 6.33333e-05')	5335.0	38.632	0.89972	38.093	97.917
('35908 6405', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: M18', 'timepoint: 1', 'assayCompoundConcentration: 0.137176667')	1394.0	94.692	3.8737	94.478	100.0
('35909 6406', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: M18', 'timepoint: 2', 'assayCompoundConcentration: 0.137176667')	1438.0	74.826	1.5299	74.435	100.0
('35910 6407', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: M18', 'timepoint: 3', 'assayCompoundConcentration: 0.137176667')	1347.0	15.664	0.89087	14.981	91.667
('35911 6408', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M19', 'timepoint: 1', 'assayCompoundConcentration: 6.33333e-05')	2610.0	96.897	1.9923	96.833	100.0
('35912 6409', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M19', 'timepoint: 2', 'assayCompoundConcentration: 6.33333e-05')	4538.0	92.398	1.8731	92.252	100.0
('35913 6410', 'smName: MPS-1-IN-1', 'clName: KYSE-180', 'recordedWell: M19', 'timepoint: 3', 'assayCompoundConcentration: 6.33333e-05')	5667.0	37.639	1.0411	37.001	98.305
('35914 6411', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: M20', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	2409.0	97.302	2.1171	97.243	100.0
('35915 6412', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: M20', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	5175.0	94.145	1.6618	94.085	97.674
('35916 6413', 'smName: Staurosporine', 'clName: KYSE-180', 'recordedWell: M20', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	5629.0	35.015	0.99485	34.362	100.0
