	('pAkt10min 0',)	('pAkt30min 1',)	('pAkt90min 2',)	('pErk10min 3',)	('pErk30min 4',)	('pErk90min 5',)	('ligrespelisapaktAU 6',)	('ligrespelisaperkAU 7',)
('115055 590', 'protein_ppName: HRG', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 1.0')	12312.99279	13314.77841	13789.04148	24497.26976	26287.90227	23155.11873		
('115056 591', 'protein_ppName: HRG', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 100.0')	16089.87252	21588.38636	28835.90376	27280.48957	26786.13405	30126.63318		
('115057 592', 'protein_ppName: HRG', 'cell_clName: MDA-MB-361', 'ligandConcentration: 1.0')	4689.264366	7619.428938	10280.39291	4528.123343	5955.720841	3211.942398		
('115058 593', 'protein_ppName: HRG', 'cell_clName: MDA-MB-361', 'ligandConcentration: 100.0')	10050.8854	10580.73732	10774.52104	8235.34839	5986.887565	4690.836377		
('115059 594', 'protein_ppName: HRG', 'cell_clName: MDA-MB-415', 'ligandConcentration: 1.0')	31755.25169	49568.29089	55034.8364	7114.079124	7620.871315	10827.75788		
('115060 595', 'protein_ppName: HRG', 'cell_clName: MDA-MB-415', 'ligandConcentration: 100.0')	55644.03045	59591.5153	66127.01826	13419.06386	17313.10141	18176.92692		
('115061 596', 'protein_ppName: HRG', 'cell_clName: MDA-MB-436', 'ligandConcentration: 1.0')	4014.893308	4231.691833	4017.250928	2360.487221	2360.487221	2360.487221		
('115062 597', 'protein_ppName: HRG', 'cell_clName: MDA-MB-436', 'ligandConcentration: 100.0')	3826.078706	4832.474883	3902.6501	2360.487221	2360.487221	2360.487221		
('115063 598', 'protein_ppName: HRG', 'cell_clName: MDA-MB-453', 'ligandConcentration: 1.0')	15106.53375	17364.93035	20905.30744	8052.620945	6598.965035	5628.745795		
('115064 599', 'protein_ppName: HRG', 'cell_clName: MDA-MB-453', 'ligandConcentration: 100.0')	30098.92739	25863.02377	22429.10072	16440.15047	10630.8066	6131.858819		
('115065 600', 'protein_ppName: HRG', 'cell_clName: MDA-MB-468', 'ligandConcentration: 1.0')	35403.74872	38585.88957	49708.36573	6902.792021	9040.5244	7806.802786		
('115066 601', 'protein_ppName: HRG', 'cell_clName: MDA-MB-468', 'ligandConcentration: 100.0')	61511.09472	65493.41886	68113.9093	24575.43144	14789.94578	11815.29138		
('115067 602', 'protein_ppName: HRG', 'cell_clName: T47D', 'ligandConcentration: 1.0')	30028.2914	37908.0906	50938.69847	35100.97855	32663.25735	36855.48512		
('115068 603', 'protein_ppName: HRG', 'cell_clName: T47D', 'ligandConcentration: 100.0')	45097.74229	55344.98329	58904.83362	46986.01474	39777.26796	38771.21367		
('115069 604', 'protein_ppName: HRG', 'cell_clName: UACC-812', 'ligandConcentration: 1.0')	4711.613271	8204.138394	15660.72421	28652.13167	32629.97414	38513.80479		
('115070 605', 'protein_ppName: HRG', 'cell_clName: UACC-812', 'ligandConcentration: 100.0')	24360.36892	45649.28672	55703.04961	43780.45276	55076.21759	53464.32893		
('115071 606', 'protein_ppName: HRG', 'cell_clName: UACC-893', 'ligandConcentration: 1.0')	34090.10841	30432.23175	32130.87914	2073.098393	2073.098393	2073.098393		
('115072 607', 'protein_ppName: HRG', 'cell_clName: UACC-893', 'ligandConcentration: 100.0')	36453.41601	39466.20015	23557.76749	3180.27711	3949.301962	2073.098393		
('115073 608', 'protein_ppName: HRG', 'cell_clName: ZR-75-1', 'ligandConcentration: 1.0')	83817.28727	136789.7443	45353.72361	42622.34492	41935.97813	37996.42839		
('115074 609', 'protein_ppName: HRG', 'cell_clName: ZR-75-1', 'ligandConcentration: 100.0')	90000.0	90000.0	120384.0558	78130.45511	67699.60868	42213.29758		
('115075 610', 'protein_ppName: HRG', 'cell_clName: ZR-75-30', 'ligandConcentration: 1.0')	27497.2506	56991.3567	91733.13397	25402.49096	30552.67145	32349.99071		
('115076 611', 'protein_ppName: HRG', 'cell_clName: ZR-75-30', 'ligandConcentration: 100.0')	68967.74909	77353.296	97578.10104	29841.8473	28794.85847	30650.32451		
('115077 612', 'protein_ppName: HRG', 'cell_clName: 184B5', 'ligandConcentration: 1.0')	6327.106083	5959.072017	4269.555179	7534.124923	7142.615316	7817.213701		
('115078 613', 'protein_ppName: HRG', 'cell_clName: 184B5', 'ligandConcentration: 100.0')	18743.11992	11202.40288	8334.810747	13736.61693	12968.25896	9532.127142		
('115079 614', 'protein_ppName: HRG', 'cell_clName: HCC1187', 'ligandConcentration: 1.0')	18134.92285	14849.69585	19554.83417	913.3783082	538.8506079	405.3351775		
('115080 615', 'protein_ppName: HRG', 'cell_clName: HCC1187', 'ligandConcentration: 100.0')	35203.5899	23544.73285	21269.52117	10623.88898	2413.020585	561.4856153		
('115081 616', 'protein_ppName: HRG', 'cell_clName: HCC1500', 'ligandConcentration: 1.0')	1244.241173	1878.877048	2896.415984	3077.164256	3077.164256	3077.164256		
('115082 617', 'protein_ppName: HRG', 'cell_clName: HCC1500', 'ligandConcentration: 100.0')	5578.355771	3526.172301	3026.423926	30626.03843	9789.401855	3077.164256		
('115083 618', 'protein_ppName: HRG', 'cell_clName: MCF 10A', 'ligandConcentration: 1.0')	6638.29332	3910.622897	3244.333682	3272.932357	1808.457185	1377.216726		
('115084 619', 'protein_ppName: HRG', 'cell_clName: MCF 10A', 'ligandConcentration: 100.0')	25725.86308	12282.59886	9510.35726	10386.96245	2806.321469	3718.373258		
('115085 620', 'protein_ppName: HRG', 'cell_clName: MCF 10F', 'ligandConcentration: 1.0')	20948.86796	25329.93325	27844.76913	5379.335217	4895.174425	3576.455921		
('115086 621', 'protein_ppName: HRG', 'cell_clName: MCF 10F', 'ligandConcentration: 100.0')	46007.61048	48083.25451	44121.4319	20162.66741	11481.54472	7728.425467		
('115087 622', 'protein_ppName: HRG', 'cell_clName: MCF12A', 'ligandConcentration: 1.0')	2512.33178	2543.099669	2266.188667	6882.608925	6341.714833	7136.215418		
('115088 623', 'protein_ppName: HRG', 'cell_clName: MCF12A', 'ligandConcentration: 100.0')	2087.268731	2578.622595	1915.900913	7177.721102	5977.533849	7844.098243		
('115089 624', 'protein_ppName: IGF-I', 'cell_clName: MCF7', 'ligandConcentration: 1.0')	2387.787615	1940.420573	2254.332906	248.7780028	248.7780028	248.7780028		
('115090 625', 'protein_ppName: IGF-I', 'cell_clName: MCF7', 'ligandConcentration: 100.0')	14912.07137	14366.60672	16930.88859	19484.04136	10037.61276	8857.555122		
('115091 626', 'protein_ppName: IGF-I', 'cell_clName: SK-BR-3', 'ligandConcentration: 1.0')	10102.24497	7595.76846	8738.492106	2173.008132	2173.008132	2173.008132		
('115092 627', 'protein_ppName: IGF-I', 'cell_clName: SK-BR-3', 'ligandConcentration: 100.0')	9312.333005	8629.151798	8437.480066	2173.008132	2173.008132	2173.008132		
('115093 628', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-231', 'ligandConcentration: 1.0')	1068.482915	547.0725358	547.0725358	380.9613172	143.835712	31.58511031		
('115094 629', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-231', 'ligandConcentration: 100.0')	8088.870049	3599.475433	2361.760616	7264.977798	2408.245758	31.58511031		
('115095 630', 'protein_ppName: IGF-I', 'cell_clName: AU565', 'ligandConcentration: 1.0')	6808.421184	7544.46237	7802.456188	8686.718782	8210.828252	5474.04374		
('115096 631', 'protein_ppName: IGF-I', 'cell_clName: AU565', 'ligandConcentration: 100.0')	8047.425735	7711.852565	10448.87478	9004.939527	7542.826311	7802.993048		
('115097 632', 'protein_ppName: IGF-I', 'cell_clName: BT-20', 'ligandConcentration: 1.0')	6631.120208	7613.48118	7685.139703	72.62507464	137.7273333	435.3289025		
('115098 633', 'protein_ppName: IGF-I', 'cell_clName: BT-20', 'ligandConcentration: 100.0')	10409.17285	12592.23462	13881.41518	1356.963574	1784.115776	1235.193961		
('115099 634', 'protein_ppName: IGF-I', 'cell_clName: BT-474', 'ligandConcentration: 1.0')	15809.07823	15695.98125	14960.80449	7867.393386	7273.519674	7117.723322		
('115100 635', 'protein_ppName: IGF-I', 'cell_clName: BT-474', 'ligandConcentration: 100.0')	14352.54871	15603.0172	16057.91014	7369.835107	6830.959808	8008.105127		
('115101 636', 'protein_ppName: IGF-I', 'cell_clName: BT-483', 'ligandConcentration: 1.0')	2872.098998	1036.160565	1558.221873	281.9715551	281.9715551	281.9715551		
('115102 637', 'protein_ppName: IGF-I', 'cell_clName: BT-483', 'ligandConcentration: 100.0')	3125.149327	2342.010106	3060.534217	281.9715551	281.9715551	281.9715551		
('115103 638', 'protein_ppName: IGF-I', 'cell_clName: BT-549', 'ligandConcentration: 1.0')	9554.365621	9208.724918	9721.65846	2060.036766	2347.08727	1728.122214		
('115104 639', 'protein_ppName: IGF-I', 'cell_clName: BT-549', 'ligandConcentration: 100.0')	21433.82037	20185.87448	22644.29657	2505.977465	2210.787909	2794.457266		
('115105 640', 'protein_ppName: IGF-I', 'cell_clName: CAMA-1', 'ligandConcentration: 1.0')	4174.255208	2722.260146	3487.573086	70.21348513	70.21348513	70.21348513		
('115106 641', 'protein_ppName: IGF-I', 'cell_clName: CAMA-1', 'ligandConcentration: 100.0')	4726.048999	5669.456688	4866.692781	70.21348513	797.415264	70.21348513		
('115107 642', 'protein_ppName: IGF-I', 'cell_clName: HCC1395', 'ligandConcentration: 1.0')	9327.710446	8200.880634	8373.992651	2294.37206	2294.37206	2294.37206		
('115108 643', 'protein_ppName: IGF-I', 'cell_clName: HCC1395', 'ligandConcentration: 100.0')	17514.4609	20895.97543	22860.17536	2294.37206	2294.37206	2294.37206		
('115109 644', 'protein_ppName: IGF-I', 'cell_clName: HCC1419', 'ligandConcentration: 1.0')	19988.19292	18736.58293	24204.18859	25083.3041	26935.50509	24275.45013		
('115110 645', 'protein_ppName: IGF-I', 'cell_clName: HCC1419', 'ligandConcentration: 100.0')	21004.14746	16649.15502	31160.41768	24533.73487	24032.30719	25410.36695		
('115111 646', 'protein_ppName: IGF-I', 'cell_clName: HCC1428', 'ligandConcentration: 1.0')	1040.118819	1040.118819	1040.118819	103.8606935	103.8606935	103.8606935		
('115112 647', 'protein_ppName: IGF-I', 'cell_clName: HCC1428', 'ligandConcentration: 100.0')	1040.118819	1040.118819	2360.303396	878.6299275	103.8606935	103.8606935		
('115113 648', 'protein_ppName: IGF-I', 'cell_clName: HCC1569', 'ligandConcentration: 1.0')	21090.70338	16768.93127	24462.99347	4660.049011	3513.509155	3800.263574		
('115114 649', 'protein_ppName: IGF-I', 'cell_clName: HCC1569', 'ligandConcentration: 100.0')	38504.26932	36491.74962	59104.83382	8722.328942	4848.309243	8241.516768		
('115115 650', 'protein_ppName: IGF-I', 'cell_clName: HCC1806', 'ligandConcentration: 1.0')	9661.324612	8801.008981	8830.966282	2649.337784	2649.337784	4413.34659		
('115116 651', 'protein_ppName: IGF-I', 'cell_clName: HCC1806', 'ligandConcentration: 100.0')	49749.73675	55089.92267	57260.96922	15998.74896	19714.32243	12295.5519		
('115117 652', 'protein_ppName: IGF-I', 'cell_clName: HCC1937', 'ligandConcentration: 1.0')	3075.113416	2114.13771	2949.563255	656.085616	343.1177563	343.1177563		
('115118 653', 'protein_ppName: IGF-I', 'cell_clName: HCC1937', 'ligandConcentration: 100.0')	11228.48861	9684.763213	12253.27334	4463.454684	2756.570683	1355.624143		
('115119 654', 'protein_ppName: IGF-I', 'cell_clName: HCC1954', 'ligandConcentration: 1.0')	2598.919792	2458.395676	2521.490196	4761.347098	4907.29455	5856.807703		
('115120 655', 'protein_ppName: IGF-I', 'cell_clName: HCC1954', 'ligandConcentration: 100.0')	4057.36225	5857.726534	6144.932791	6842.283598	4208.456223	7101.505624		
('115121 656', 'protein_ppName: IGF-I', 'cell_clName: HCC202', 'ligandConcentration: 1.0')	54592.27873	55310.90869	61493.98418	3078.145625	3363.973152	3905.694341		
('115122 657', 'protein_ppName: IGF-I', 'cell_clName: HCC202', 'ligandConcentration: 100.0')	53092.80106	50944.3535	56861.29179	3549.890268	3284.345797	4508.755418		
('115123 658', 'protein_ppName: IGF-I', 'cell_clName: HCC38', 'ligandConcentration: 1.0')	3146.063777	2761.248709	3314.955567	479.5605425	73.97568542	91.02177463		
('115124 659', 'protein_ppName: IGF-I', 'cell_clName: HCC38', 'ligandConcentration: 100.0')	8446.920982	6171.09753	6799.106236	2138.681061	1009.253373	963.1754672		
('115125 660', 'protein_ppName: IGF-I', 'cell_clName: HCC70', 'ligandConcentration: 1.0')	8859.55187	8742.91521	8604.851963	389.867648	389.867648	389.867648		
('115126 661', 'protein_ppName: IGF-I', 'cell_clName: HCC70', 'ligandConcentration: 100.0')	10747.16502	10643.48799	10818.01099	389.867648	389.867648	389.867648		
('115127 662', 'protein_ppName: IGF-I', 'cell_clName: Hs 578T', 'ligandConcentration: 1.0')	2874.910736	3111.863046	2588.493011	3296.534228	3652.784002	4606.709654		
('115128 663', 'protein_ppName: IGF-I', 'cell_clName: Hs 578T', 'ligandConcentration: 100.0')	5150.597757	9761.997246	10525.56171	3459.088825	4072.816151	6042.75615		
('115129 664', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 1.0')	842.221377	842.221377	842.221377	1095.812986	677.1365586	976.4219808		
('115130 665', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 100.0')	842.221377	1271.244114	2058.092034	2182.420747	830.5794345	1632.623671		
('115131 666', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-157', 'ligandConcentration: 1.0')	1069.931871	1069.931871	1069.931871	252.4573021	252.4573021	252.4573021		
('115132 667', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-157', 'ligandConcentration: 100.0')	3930.230121	3198.725595	3012.372006	768.8564077	252.4573021	2130.886104		
('115133 668', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 1.0')	11225.40022	11524.87917	13175.92332	22516.4086	22182.9037	21844.93963		
('115134 669', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 100.0')	13017.51861	14457.74395	18389.64683	23021.46029	23574.45531	23538.3448		
('115135 670', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-361', 'ligandConcentration: 1.0')	1171.188182	751.2088921	751.2088921	166.1702235	166.1702235	166.1702235		
('115136 671', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-361', 'ligandConcentration: 100.0')	4240.935955	4078.296046	6223.046238	166.1702235	166.1702235	673.1467167		
('115137 672', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-415', 'ligandConcentration: 1.0')	33831.58303	28232.81403	30501.74488	43.43729105	43.43729105	43.43729105		
('115138 673', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-415', 'ligandConcentration: 100.0')	29376.53711	30353.723	32681.82235	43.43729105	43.43729105	43.43729105		
('115139 674', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-436', 'ligandConcentration: 1.0')	7707.336074	2864.477308	4584.82229	4164.31204	2360.487221	2360.487221		
('115140 675', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-436', 'ligandConcentration: 100.0')	11735.2784	9534.593993	12654.44264	7527.500294	3799.435128	3980.624494		
('115141 676', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-453', 'ligandConcentration: 1.0')	5678.755217	4725.100319	4769.112062	1721.070927	592.264794	1825.499878		
('115142 677', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-453', 'ligandConcentration: 100.0')	5365.234497	4660.84519	7158.536758	1131.573602	1041.32636	3055.225983		
('115143 678', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-468', 'ligandConcentration: 1.0')	20231.62801	20455.75697	23428.78571	3880.896114	3519.364375	3295.021668		
('115144 679', 'protein_ppName: IGF-I', 'cell_clName: MDA-MB-468', 'ligandConcentration: 100.0')	35114.95539	37669.65775	42188.80854	5050.322842	4103.02551	4254.220085		
('115145 680', 'protein_ppName: IGF-I', 'cell_clName: T47D', 'ligandConcentration: 1.0')	6251.512512	5513.290553	5900.947108	785.8501129	1011.239051	1101.104468		
('115146 681', 'protein_ppName: IGF-I', 'cell_clName: T47D', 'ligandConcentration: 100.0')	17623.37165	17450.69974	21335.63781	4029.584596	8921.435333	4148.491885		
('115147 682', 'protein_ppName: IGF-I', 'cell_clName: UACC-812', 'ligandConcentration: 1.0')	3014.69403	4424.489154	4259.618637	22890.79904	27783.54282	28128.27936		
('115148 683', 'protein_ppName: IGF-I', 'cell_clName: UACC-812', 'ligandConcentration: 100.0')	3556.734086	4098.479555	4775.047669	26114.30032	26822.7891	31079.1198		
('115149 684', 'protein_ppName: IGF-I', 'cell_clName: UACC-893', 'ligandConcentration: 1.0')	24740.38364	26138.67219	25120.2964	2073.098393	2073.098393	2073.098393		
('115150 685', 'protein_ppName: IGF-I', 'cell_clName: UACC-893', 'ligandConcentration: 100.0')	25287.74458	24803.79154	27970.44409	2073.098393	2073.098393	2073.098393		
('115151 686', 'protein_ppName: IGF-I', 'cell_clName: ZR-75-1', 'ligandConcentration: 1.0')	3687.912213	3424.559689	3995.982228	709.4583727	40.03814833	40.03814833		
('115152 687', 'protein_ppName: IGF-I', 'cell_clName: ZR-75-1', 'ligandConcentration: 100.0')	63585.60837	57039.52111	47402.39188	17617.96967	7023.07773	5496.36021		
('115153 688', 'protein_ppName: IGF-I', 'cell_clName: ZR-75-30', 'ligandConcentration: 1.0')	7265.61933	6015.07674	7511.607725	18776.9949	16523.77829	19268.81493		
('115154 689', 'protein_ppName: IGF-I', 'cell_clName: ZR-75-30', 'ligandConcentration: 100.0')	7589.621884	6409.657729	7088.746604	19755.92425	16198.62451	19338.5795		
('115155 690', 'protein_ppName: IGF-I', 'cell_clName: 184B5', 'ligandConcentration: 1.0')	6146.035234	4652.16091	5152.375104	7881.077612	6781.695225	6283.514485		
('115156 691', 'protein_ppName: IGF-I', 'cell_clName: 184B5', 'ligandConcentration: 100.0')	30932.59612	26564.60028	23296.40681	22726.55598	9513.513995	8748.474417		
('115157 692', 'protein_ppName: IGF-I', 'cell_clName: HCC1187', 'ligandConcentration: 1.0')	13433.02537	13731.88733	17260.03654	248.3144238	248.3144238	248.3144238		
('115158 693', 'protein_ppName: IGF-I', 'cell_clName: HCC1187', 'ligandConcentration: 100.0')	28623.97701	36014.64573	49257.9925	248.3144238	248.3144238	632.8908965		
('115159 694', 'protein_ppName: IGF-I', 'cell_clName: HCC1500', 'ligandConcentration: 1.0')	1870.569486	1244.241173	3039.262885	3077.164256	3077.164256	3077.164256		
('115160 695', 'protein_ppName: IGF-I', 'cell_clName: HCC1500', 'ligandConcentration: 100.0')	1244.241173	1939.511458	2828.337135	3077.164256	3077.164256	3077.164256		
('115161 696', 'protein_ppName: IGF-I', 'cell_clName: MCF 10A', 'ligandConcentration: 1.0')	5973.712904	3602.327075	4638.428876	3457.146084	939.3552025	1416.159047		
('115162 697', 'protein_ppName: IGF-I', 'cell_clName: MCF 10A', 'ligandConcentration: 100.0')	30946.81367	28686.35737	18336.58896	8858.149685	10642.09127	1650.814839		
('115163 698', 'protein_ppName: IGF-I', 'cell_clName: MCF 10F', 'ligandConcentration: 1.0')	1990.023682	1451.602799	1470.208243	407.4253875	407.4253875	407.4253875		
('115164 699', 'protein_ppName: IGF-I', 'cell_clName: MCF 10F', 'ligandConcentration: 100.0')	11406.75581	6852.659888	6225.242964	4364.798131	407.4253875	407.4253875		
('115165 700', 'protein_ppName: IGF-I', 'cell_clName: MCF12A', 'ligandConcentration: 1.0')	2202.415225	1060.088971	1520.300449	6343.260429	6756.449677	8347.15744		
('115166 701', 'protein_ppName: IGF-I', 'cell_clName: MCF12A', 'ligandConcentration: 100.0')	5244.986504	4212.677209	3807.007255	6929.620794	7667.803735	11674.21316		
('115167 702', 'protein_ppName: IGF-II', 'cell_clName: MCF7', 'ligandConcentration: 1.0')	1355.591608	1371.119357	1454.948219	248.7780028	248.7780028	248.7780028		
('115168 703', 'protein_ppName: IGF-II', 'cell_clName: MCF7', 'ligandConcentration: 100.0')	9840.267854	9416.717022	14682.6174	8386.259143	3134.64598	4932.923768		
('115169 704', 'protein_ppName: IGF-II', 'cell_clName: SK-BR-3', 'ligandConcentration: 1.0')	9110.61449	7919.744575	8910.722662	2173.008132	2173.008132	2173.008132		
('115170 705', 'protein_ppName: IGF-II', 'cell_clName: SK-BR-3', 'ligandConcentration: 100.0')	8894.934861	8175.350378	8771.502963	2173.008132	2173.008132	2173.008132		
('115171 706', 'protein_ppName: IGF-II', 'cell_clName: MDA-MB-231', 'ligandConcentration: 1.0')	1551.764385	547.0725358	1121.123904	1297.486245	125.7985566	31.58511031		
('115172 707', 'protein_ppName: IGF-II', 'cell_clName: MDA-MB-231', 'ligandConcentration: 100.0')	5483.416078	2411.140646	2435.587169	4705.092272	2293.224742	31.58511031		
('115173 708', 'protein_ppName: IGF-II', 'cell_clName: AU565', 'ligandConcentration: 1.0')	7148.524536	8223.423274	8821.067425	8909.065965	9317.729093	6927.910837		
('115174 709', 'protein_ppName: IGF-II', 'cell_clName: AU565', 'ligandConcentration: 100.0')	8477.226674	8291.489246	10362.68808	9445.560508	7783.189113	7180.460675		
('115175 710', 'protein_ppName: IGF-II', 'cell_clName: BT-20', 'ligandConcentration: 1.0')	6421.078872	6964.629515	7458.052835	309.8706955	367.1526553	443.9559028		
('115176 711', 'protein_ppName: IGF-II', 'cell_clName: BT-20', 'ligandConcentration: 100.0')	8050.609385	8346.326952	11195.73448	1091.608944	155.5101921	693.2795167		
('115177 712', 'protein_ppName: IGF-II', 'cell_clName: BT-474', 'ligandConcentration: 1.0')	13154.12894	16348.12126	19401.27583	8382.491908	7528.749726	7493.084561		
('115178 713', 'protein_ppName: IGF-II', 'cell_clName: BT-474', 'ligandConcentration: 100.0')	16401.09778	16372.89312	16198.46956	8402.838592	7589.867734	8081.228459		
('115179 714', 'protein_ppName: IGF-II', 'cell_clName: BT-483', 'ligandConcentration: 1.0')	3194.051696	2044.519481	1562.611209	281.9715551	281.9715551	281.9715551		
('115180 715', 'protein_ppName: IGF-II', 'cell_clName: BT-483', 'ligandConcentration: 100.0')	3520.904119	1036.160565	3121.67869	281.9715551	281.9715551	281.9715551		
('115181 716', 'protein_ppName: IGF-II', 'cell_clName: BT-549', 'ligandConcentration: 1.0')	8973.830118	9184.071236	9605.923121	1911.945704	2228.058582	2420.140233		
('115182 717', 'protein_ppName: IGF-II', 'cell_clName: BT-549', 'ligandConcentration: 100.0')	13958.76541	14545.3665	19448.80767	2236.078527	2134.399919	2719.8956		
('115183 718', 'protein_ppName: IGF-II', 'cell_clName: CAMA-1', 'ligandConcentration: 1.0')	4934.866511	3886.158376	3371.16705	70.21348513	70.21348513	63430.62147		
('115184 719', 'protein_ppName: IGF-II', 'cell_clName: CAMA-1', 'ligandConcentration: 100.0')	4968.345406	4259.452104	5326.885723	70.21348513	952.6897458	70.21348513		
('115185 720', 'protein_ppName: IGF-II', 'cell_clName: HCC1395', 'ligandConcentration: 1.0')	9237.374419	8152.829556	10096.9121	2294.37206	2294.37206	2294.37206		
('115186 721', 'protein_ppName: IGF-II', 'cell_clName: HCC1395', 'ligandConcentration: 100.0')	10659.55819	13861.04134	20815.76216	2294.37206	2294.37206	2294.37206		
('115187 722', 'protein_ppName: IGF-II', 'cell_clName: HCC1419', 'ligandConcentration: 1.0')	18471.77012	16207.40092	19741.91301	25986.94166	24236.64342	28279.97191		
('115188 723', 'protein_ppName: IGF-II', 'cell_clName: HCC1419', 'ligandConcentration: 100.0')	18449.96201	18865.5943	25991.41543	25031.19758	27716.35358	25344.21134		
('115189 724', 'protein_ppName: IGF-II', 'cell_clName: HCC1428', 'ligandConcentration: 1.0')	1040.118819	1040.118819	1040.118819	103.8606935	103.8606935	235.5991838		
('115190 725', 'protein_ppName: IGF-II', 'cell_clName: HCC1428', 'ligandConcentration: 100.0')	1040.118819	1040.118819	1910.060093	103.8606935	103.8606935	323.1768371		
('115191 726', 'protein_ppName: IGF-II', 'cell_clName: HCC1569', 'ligandConcentration: 1.0')	17103.41145	13535.49235	13201.32543	4750.356584	4315.160087	3946.762526		
('115192 727', 'protein_ppName: IGF-II', 'cell_clName: HCC1569', 'ligandConcentration: 100.0')	25904.52394	26162.72603	49703.59921	6266.695599	5328.261345	8269.357621		
('115193 728', 'protein_ppName: IGF-II', 'cell_clName: HCC1806', 'ligandConcentration: 1.0')	7244.549009	6822.111467	6988.130345	2649.337784	2649.337784	2649.337784		
('115194 729', 'protein_ppName: IGF-II', 'cell_clName: HCC1806', 'ligandConcentration: 100.0')	37165.82254	42062.71958	54205.72038	10179.45887	10595.73572	11857.5364		
('115195 730', 'protein_ppName: IGF-II', 'cell_clName: HCC1937', 'ligandConcentration: 1.0')	1570.364939	1326.256037	2596.151859	520.5356852	343.1177563	1207.215971		
('115196 731', 'protein_ppName: IGF-II', 'cell_clName: HCC1937', 'ligandConcentration: 100.0')	4791.556448	4554.832849	9714.107486	1671.284461	1954.894188	1374.373106		
('115197 732', 'protein_ppName: IGF-II', 'cell_clName: HCC1954', 'ligandConcentration: 1.0')	3182.922673	2837.770408	4084.820986	6864.73209	5007.248395	5592.134822		
('115198 733', 'protein_ppName: IGF-II', 'cell_clName: HCC1954', 'ligandConcentration: 100.0')	4165.985777	4606.234102	3605.504533	6157.894876	4014.128401	7697.229253		
('115199 734', 'protein_ppName: IGF-II', 'cell_clName: HCC202', 'ligandConcentration: 1.0')	51801.31129	48166.3853	54570.94409	4027.817971	3538.243867	5022.701905		
('115200 735', 'protein_ppName: IGF-II', 'cell_clName: HCC202', 'ligandConcentration: 100.0')	41855.69891	53636.58622	48443.43789	3853.187395	3749.678377	4201.172677		
('115201 736', 'protein_ppName: IGF-II', 'cell_clName: HCC38', 'ligandConcentration: 1.0')	3094.289617	2614.752867	3099.164029	501.719457	418.7250705	433.3021161		
('115202 737', 'protein_ppName: IGF-II', 'cell_clName: HCC38', 'ligandConcentration: 100.0')	5755.323359	4764.63205	6667.497111	1223.576561	954.9166457	1480.953932		
('115203 738', 'protein_ppName: IGF-II', 'cell_clName: HCC70', 'ligandConcentration: 1.0')	8944.912626	9433.577035	9668.578306	820.8399419	389.867648	389.867648		
('115204 739', 'protein_ppName: IGF-II', 'cell_clName: HCC70', 'ligandConcentration: 100.0')	9890.274358	10650.0542	12330.83168	389.867648	389.867648	817.0394966		
('115205 740', 'protein_ppName: IGF-II', 'cell_clName: Hs 578T', 'ligandConcentration: 1.0')	3449.876721	3087.408234	2716.232352	2884.431572	3680.498734	4558.901742		
('115206 741', 'protein_ppName: IGF-II', 'cell_clName: Hs 578T', 'ligandConcentration: 100.0')	3713.229112	4006.316332	7366.074065	3252.922019	4456.126281	5287.067812		
('115207 742', 'protein_ppName: IGF-II', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 1.0')	842.221377	842.221377	842.221377	1696.538255	1510.12072	852.1835212		
('115208 743', 'protein_ppName: IGF-II', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 100.0')	842.221377	842.221377	1271.355551	1476.06885	586.4113636	1706.951305		
('115209 744', 'protein_ppName: IGF-II', 'cell_clName: MDA-MB-157', 'ligandConcentration: 1.0')	1069.931871	1069.931871	1069.931871	252.4573021	252.4573021	252.4573021		
('115210 745', 'protein_ppName: IGF-II', 'cell_clName: MDA-MB-157', 'ligandConcentration: 100.0')	2898.044651	2734.080169	1963.885701	775.6056433	252.4573021	252.4573021		
('115211 746', 'protein_ppName: IGF-II', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 1.0')	12574.11223	11698.3952	13184.7999	24667.88391	23212.56329	23519.63379		
