	('auc 0',)
('490843 193', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10126', 'smallmolecule_smLincsID: LSM-1126', 'smallmolecule_smName: PI103', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.24561
('490844 194', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10127', 'smallmolecule_smLincsID: LSM-1127', 'smallmolecule_smName: Dovitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.45973
('490845 195', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10128', 'smallmolecule_smLincsID: LSM-1128', 'smallmolecule_smName: GSK 690693', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.58972
('490846 196', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10132', 'smallmolecule_smLincsID: LSM-1132', 'smallmolecule_smName: BMS-387032', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.18551
('490847 197', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10133', 'smallmolecule_smLincsID: LSM-5742', 'smallmolecule_smName: Afatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.11247
('490848 198', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10134', 'smallmolecule_smLincsID: LSM-1134', 'smallmolecule_smName: GSK1904529A', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.93224
('490849 199', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.69723
('490850 200', 'smallmolecule_smSalt: 105', 'smallmolecule_smCenterCompoundID: 10138', 'smallmolecule_smLincsID: LSM-1139', 'smallmolecule_smName: Ruxolitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.89858
('490851 201', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10140', 'smallmolecule_smLincsID: LSM-1141', 'smallmolecule_smName: CYT387', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.61569
('490852 202', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10141', 'smallmolecule_smLincsID: LSM-1142', 'smallmolecule_smName: TG 101348', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.67357
('490853 203', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10142', 'smallmolecule_smLincsID: LSM-1143', 'smallmolecule_smName: Trametinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.59042
('490854 204', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.23341
('490855 205', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10147', 'smallmolecule_smLincsID: LSM-1148', 'smallmolecule_smName: Buparlisib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.14949
('490856 206', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10148', 'smallmolecule_smLincsID: LSM-1149', 'smallmolecule_smName: XL147', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	1.0657
('490857 207', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10149', 'smallmolecule_smLincsID: LSM-1150', 'smallmolecule_smName: Y39983', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.58742
('490858 208', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10151', 'smallmolecule_smLincsID: LSM-1152', 'smallmolecule_smName: Nintedanib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.76452
('490859 209', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10157', 'smallmolecule_smLincsID: LSM-1158', 'smallmolecule_smName: Foretinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.29582
('490860 210', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10158', 'smallmolecule_smLincsID: LSM-1159', 'smallmolecule_smName: AZD 5438', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.15681
('490861 211', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10159', 'smallmolecule_smLincsID: LSM-1160', 'smallmolecule_smName: Pelitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.080914
('490862 212', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10161', 'smallmolecule_smLincsID: LSM-1162', 'smallmolecule_smName: NVP-AUY922', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.014243
('490863 213', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10164', 'smallmolecule_smLincsID: LSM-1165', 'smallmolecule_smName: AZD8330', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.69956
('490864 214', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10171', 'smallmolecule_smLincsID: LSM-1172', 'smallmolecule_smName: TGX221', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.86477
('490865 215', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10172', 'smallmolecule_smLincsID: LSM-1173', 'smallmolecule_smName: GSK1059615', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.32348
('490866 216', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10172', 'smallmolecule_smLincsID: LSM-1173', 'smallmolecule_smName: GSK1059615', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.22761
('490867 217', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10177', 'smallmolecule_smLincsID: LSM-1178', 'smallmolecule_smName: Brivanib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.82479
('490868 218', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10180', 'smallmolecule_smLincsID: LSM-1181', 'smallmolecule_smName: CHIR-99021', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.70161
('490869 219', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10182', 'smallmolecule_smLincsID: LSM-1183', 'smallmolecule_smName: Linifanib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.95385
('490870 220', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10190', 'smallmolecule_smLincsID: LSM-1191', 'smallmolecule_smName: PIK-93', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.78515
('490871 221', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10232', 'smallmolecule_smLincsID: LSM-4255', 'smallmolecule_smName: BEZ235', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.0075737
('490872 222', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10233', 'smallmolecule_smLincsID: LSM-4256', 'smallmolecule_smName: BYL719', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.52836
('490873 223', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10234', 'smallmolecule_smLincsID: LSM-4257', 'smallmolecule_smName: GDC-0980', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	-0.016123
('490874 224', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10479', 'smallmolecule_smLincsID: LSM-2481', 'smallmolecule_smName: Mitoxantrone', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	-0.2094
('490875 225', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10479', 'smallmolecule_smLincsID: LSM-2481', 'smallmolecule_smName: Mitoxantrone', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.27438
('490876 226', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10480', 'smallmolecule_smLincsID: LSM-6548', 'smallmolecule_smName: Radicicol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.073402
('490877 227', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10480', 'smallmolecule_smLincsID: LSM-6548', 'smallmolecule_smName: Radicicol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.011053
('490878 228', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10481', 'smallmolecule_smLincsID: LSM-6685', 'smallmolecule_smName: Withaferin A', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.25558
('490879 229', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10481', 'smallmolecule_smLincsID: LSM-6685', 'smallmolecule_smName: Withaferin A', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.22078
('490880 230', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10001', 'smallmolecule_smLincsID: LSM-1001', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.8363
('490881 231', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	-0.030285
('490882 232', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.10811
('490883 233', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.22509
('490884 234', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.91911
('490885 235', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.87177
('490886 236', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.87488
('490887 237', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	-0.19513
('490888 238', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.3461
('490889 239', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.4958
('490890 240', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.74608
('490891 241', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.41506
('490892 242', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.58992
('490893 243', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.58026
('490894 244', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	-0.073853
('490895 245', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	-0.22013
('490896 246', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.082276
('490897 247', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.99301
('490898 248', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.43619
('490899 249', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	-0.0683
('490900 250', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	-0.27833
('490901 251', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.89828
('490902 252', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.52763
('490903 253', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.57974
('490904 254', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.74703
('490905 255', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10032', 'smallmolecule_smLincsID: LSM-1032', 'smallmolecule_smName: Saracatinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.58337
('490906 256', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10035', 'smallmolecule_smLincsID: LSM-1035', 'smallmolecule_smName: Sigma A6730', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.82721
('490907 257', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10039', 'smallmolecule_smLincsID: LSM-5431', 'smallmolecule_smName: WH-4-025', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.22011
('490908 258', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10040', 'smallmolecule_smLincsID: LSM-1040', 'smallmolecule_smName: R406', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.7553
('490909 259', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10041', 'smallmolecule_smLincsID: LSM-1041', 'smallmolecule_smName: BI-2536', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.0046288
('490910 260', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10045', 'smallmolecule_smLincsID: LSM-1045', 'smallmolecule_smName: A443654', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.020136
('490911 261', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10046', 'smallmolecule_smLincsID: LSM-1046', 'smallmolecule_smName: SB590885', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.69241
('490912 262', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10047', 'smallmolecule_smLincsID: LSM-1047', 'smallmolecule_smName: GDC-0941', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.6646
('490913 263', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10048', 'smallmolecule_smLincsID: LSM-1048', 'smallmolecule_smName: PD184352', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.65646
('490914 264', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.89648
('490915 265', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.88111
('490916 266', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10052', 'smallmolecule_smLincsID: LSM-1052', 'smallmolecule_smName: Rapamycin', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.79429
('490917 267', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10053', 'smallmolecule_smLincsID: LSM-1053', 'smallmolecule_smName: ZSTK474', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.66348
('490918 268', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10055', 'smallmolecule_smLincsID: LSM-1055', 'smallmolecule_smName: BX-912', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.51233
('490919 269', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10056', 'smallmolecule_smLincsID: LSM-1056', 'smallmolecule_smName: Selumetinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.51841
('490920 270', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10057', 'smallmolecule_smLincsID: LSM-1057', 'smallmolecule_smName: MK2206', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.77432
('490921 271', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10059', 'smallmolecule_smLincsID: LSM-1059', 'smallmolecule_smName: AZD-6482', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.75553
('490922 272', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10061', 'smallmolecule_smLincsID: LSM-1061', 'smallmolecule_smName: NU7441', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.74011
('490923 273', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10063', 'smallmolecule_smLincsID: LSM-1063', 'smallmolecule_smName: OSI-027', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.72068
('490924 274', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10064', 'smallmolecule_smLincsID: LSM-1064', 'smallmolecule_smName: WYE-125132', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.29696
('490925 275', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10067', 'smallmolecule_smLincsID: LSM-1067', 'smallmolecule_smName: AZD1152-HQPA', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.14696
('490926 276', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10068', 'smallmolecule_smLincsID: LSM-1068', 'smallmolecule_smName: Vemurafenib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.8416
('490927 277', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10069', 'smallmolecule_smLincsID: LSM-1069', 'smallmolecule_smName: Enzastaurin', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	1.0093
('490928 278', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.46085
('490929 279', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10072', 'smallmolecule_smLincsID: LSM-1072', 'smallmolecule_smName: PF562271', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.50156
('490930 280', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10073', 'smallmolecule_smLincsID: LSM-1073', 'smallmolecule_smName: PHA-793887', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.018046
('490931 281', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10075', 'smallmolecule_smLincsID: LSM-5803', 'smallmolecule_smName: QL-X-138', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.57375
('490932 282', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10077', 'smallmolecule_smLincsID: LSM-6019', 'smallmolecule_smName: QL-XII-47', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.25015
('490933 283', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10079', 'smallmolecule_smLincsID: LSM-1079', 'smallmolecule_smName: Torin1', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.21803
('490934 284', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10080', 'smallmolecule_smLincsID: LSM-1080', 'smallmolecule_smName: Torin2', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	0.021055
('490935 285', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10082', 'smallmolecule_smLincsID: LSM-5545', 'smallmolecule_smName: WZ-4-145', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.6232
('490936 286', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10084', 'smallmolecule_smLincsID: LSM-5970', 'smallmolecule_smName: WZ3105', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP5')	-0.21648
('490937 287', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10086', 'smallmolecule_smLincsID: LSM-1086', 'smallmolecule_smName: XMD11-50', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'ljpLibraryPlate: LJP6')	0.48144
