	('maxDose(log10) 0',)	('goodnessOfFit 1',)	('EC50(log10) 2',)	('IC50(log10) 3',)	('GI50(log10) 4',)	('hillSlope 5',)	('E_inf 6',)	('E_max 7',)	('areaUnderCurve 8',)
('Epirubicin 1786', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-3.7645	0.9526	-6.2915	-6.2919	-7.4016	0.7558	2.22e-16	0.012148	4.6928
('Epirubicin 1787', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-3.7645	0.9853	-6.4895	-6.4896	-6.6626	1.429	1.21e-16	0.00012756	4.7674
('Epirubicin 1788', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-3.7645	0.9935	-6.8275	-6.8227	-6.8449	2.865	0.01664	0.01664	4.2723
('Epirubicin 1789', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: SUM185PE', 'clCenterSpecificID: 51084')	-3.7645	0.9615	-6.1775	-6.0982	-6.4283	1.904	0.147	0.14702	5.693
('Epirubicin 1790', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')									
('Epirubicin 1791', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-3.7645	0.9624	-6.5365	-6.4531	-6.6309	1.754	0.1432	0.14321	5.1324
('Epirubicin 1792', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-3.7645	0.91065	-6.592	-6.5707	-7.4905	1.3728	0.04865	0.06028	4.4379
('Epirubicin 1793', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: 184A1', 'clCenterSpecificID: 51088')	-3.7645	0.9423	-6.1815	-6.1671	-6.6338	1.183	0.01932	0.020674	5.3206
('Epirubicin 1794', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-3.7645	0.977	-7.0825	-7.0822	-7.3078	0.8421	1.21e-12	0.0016051	3.7649
('Epirubicin 1795', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: MX1', 'clCenterSpecificID: 51090')									
('Epirubicin 1796', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')									
('Epirubicin 1797', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-3.7645	0.8862	-6.4465	-6.3394	-6.5021	3.999	0.3126	0.3126	6.046
('Epirubicin 1798', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: HCC2185', 'clCenterSpecificID: 51093')	-3.7645	0.9847	-5.5875	-5.5878	-6.8186	0.752	2.22e-16	0.040809	5.9682
('Epirubicin 1799', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: HCC3153', 'clCenterSpecificID: 51094')	-3.7645	0.9957	-6.1245	-6.1117	-6.2411	2.126	0.02987	0.029879	5.2491
('Epirubicin 1800', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: LY2', 'clCenterSpecificID: 51095')	-3.7645	0.8372	-6.439	-6.4202	-6.5226	2.1439	0.0728	0.14619	4.9061
('Epirubicin 1801', 'smCenterCompoundID: 10249', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-2078', 'smName: Epirubicin', 'clName: ZR75B', 'clCenterSpecificID: 51096')	-3.7645	0.9804	-6.6145	-6.5195	-6.9691	0.9953	0.098	0.099312	4.8835
('Etoposide 1802', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MCF7', 'clCenterSpecificID: 50029')	-3.4776	0.93185	-4.6461	-4.2247	-5.1533	0.5006	0.16842	0.37055	7.1186
('Etoposide 1803', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-3.4776	0.98635	-5.7416	-5.6804	-5.9393	1.0745	0.070765	0.074252	5.6019
('Etoposide 1804', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-3.4776	0.9125	-5.5001	-5.4973	-5.5939	1.241	0.022958	0.024452	6.0232
('Etoposide 1805', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: AU565', 'clCenterSpecificID: 50091')	-3.4776	0.9894	-6.1256	-6.101	-6.233	1.6625	0.04373	0.043784	4.9192
('Etoposide 1806', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: BT-20', 'clCenterSpecificID: 50105')	-3.4776	0.9749	-5.2386	-5.1292	-5.5056	1.333	0.1428	0.14663	6.4287
('Etoposide 1807', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: BT-474', 'clCenterSpecificID: 50106')	-3.4776	0.9108	-4.4573	-3.9125	-4.6587	1.176	0.3856	0.42604	7.5962
('Etoposide 1808', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: BT-483', 'clCenterSpecificID: 50107')	-3.4776								7.7183
('Etoposide 1809', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: BT-549', 'clCenterSpecificID: 50108')	-3.4776	0.96925	-5.8331	-5.8288	-5.9266	1.078	0.005375	0.0083301	5.3185
('Etoposide 1810', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: CAMA-1', 'clCenterSpecificID: 50131')	-3.4776	0.9467	-5.0031	-4.7789	-5.449	1.0133	0.19515	0.2616	6.6985
('Etoposide 1811', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC1143', 'clCenterSpecificID: 50205')	-3.4776	0.9817	-5.0596	-4.9701	-5.3093	0.8765	0.08296	0.1191	6.568
('Etoposide 1812', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-3.4776	0.95915	-4.9076	-4.6117	-5.5596	0.5621	0.1566	0.27204	6.7302
('Etoposide 1813', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-3.4776	0.804	-4.0378	-3.4776	-4.0615	4.0	0.7433	0.74477	8.6123
('Etoposide 1814', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC1428', 'clCenterSpecificID: 50208')	-3.4776	0.95105	-4.2405	-3.9171	-4.5105	1.1975	0.3122	0.37833	7.8407
('Etoposide 1815', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-3.4776	0.9371	-3.9339	-3.9211	-4.1879	0.6049	6.54e-12	0.34625	7.4779
('Etoposide 1816', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC1806', 'clCenterSpecificID: 50211')	-3.4776	0.89605	-5.5486	-5.498	-5.6338	2.472	0.11292	0.11847	5.9521
('Etoposide 1817', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC1937', 'clCenterSpecificID: 50212')	-3.4776	0.9743	-5.2096	-5.0456	-5.3767	1.0925	0.1688	0.17934	6.6741
('Etoposide 1818', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC1954', 'clCenterSpecificID: 50213')	-3.4776	0.9477	-5.7446	-5.7342	-6.1019	0.74745	0.009945	0.032474	5.1728
('Etoposide 1819', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC202', 'clCenterSpecificID: 50214')	-3.4776	0.8996	-5.4976	-4.9024	-6.0146	1.134	0.3943	0.39739	7.0279
('Etoposide 1820', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC38', 'clCenterSpecificID: 50216')	-3.4776	0.99455	-6.3751	-6.3508	-6.5517	1.4425	0.039445	0.039551	4.5558
('Etoposide 1821', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC70', 'clCenterSpecificID: 50219')	-3.4776	0.9232	-4.5496	-4.5492	-5.3123	0.8621	9.11e-13	0.10648	6.5664
('Etoposide 1822', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-3.4776	0.8892	-5.2076	-5.2046	-5.2648	2.5125	0.0095135	0.009559	7.0292
('Etoposide 1823', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MB 157', 'clCenterSpecificID: 50324')									
('Etoposide 1824', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-3.4776	0.9497	-4.8486	-4.0551	-5.6362	0.5406	0.3137	0.41915	7.2305
('Etoposide 1825', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')	-3.4776	0.9397	-5.2866	-5.2864	-6.0724	0.5334	1.28e-16	0.097827	5.7275
('Etoposide 1826', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-3.4776	0.8153	-4.421	-3.4776	-4.1525	0.7104	0.6756	0.73271	8.4739
('Etoposide 1827', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-3.4776	0.965	-4.6326	-4.4807	-4.8662	1.95	0.234	0.24035	7.3917
('Etoposide 1828', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-3.4776	0.9654	-5.8966	-5.5006	-5.9347	0.857	0.2711	0.27721	6.1782
('Etoposide 1829', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-3.4776	0.9304	-4.9746	-4.6718	-5.3821	0.5025	0.14875	0.28522	6.4842
('Etoposide 1830', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')	-3.4776	0.97675	-5.6971	-5.6789	-5.8319	1.446	0.029235	0.029986	5.4062
('Etoposide 1831', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: T47D', 'clCenterSpecificID: 50541')	-3.4776	0.97345	-5.8781	-5.5475	-6.0343	1.0353	0.2565	0.26114	6.0001
('Etoposide 1832', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: UACC-812', 'clCenterSpecificID: 50556')									
('Etoposide 1833', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-3.4776	0.9771	-4.2249	-4.1924	-4.4386	2.239	0.07733	0.096496	7.3527
('Etoposide 1834', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-3.4776	0.9632	-5.1636	-4.6227	-5.6989	0.60005	0.2631	0.32908	6.8258
('Etoposide 1835', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: 184B5', 'clCenterSpecificID: 50576')	-3.4776	0.9633	-4.5678	-4.4273	-5.0951	0.57225	0.091	0.27474	6.8156
('Etoposide 1836', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC1187', 'clCenterSpecificID: 50578')	-3.4776	0.9482	-5.6686	-5.6686	-6.2307	0.82745	9e-13	0.017809	5.3989
('Etoposide 1837', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MCF 10A', 'clCenterSpecificID: 50583')	-3.4776	0.9356	-5.3466	-5.3469	-5.4148	0.4964	0.01451	0.10558	5.7838
('Etoposide 1838', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MCF 10F', 'clCenterSpecificID: 50584')	-3.4776	0.9115	-6.1406	-5.0331	-6.1903	0.4879	0.356	0.38677	6.2122
('Etoposide 1839', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-3.4776	0.9483	-5.6381	-5.3511	-6.5663	0.5097	0.14089	0.20513	5.9895
('Etoposide 1840', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-3.4776	0.948	-5.2386	-5.2383	-5.5955	0.5509	1.34e-16	0.096788	5.9119
('Etoposide 1841', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-3.4776	0.9681	-6.0866	-6.0595	-6.148	1.069	0.03258	0.034149	5.0925
('Etoposide 1842', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: SUM185PE', 'clCenterSpecificID: 51084')	-3.4776	0.8862	-4.7696	-3.5564	-5.2826	0.554	0.3936	0.49146	7.6197
('Etoposide 1843', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')	-3.4776	0.8914	-4.9861	-4.604	-4.9845	3.5845	0.47105	0.47106	7.7229
('Etoposide 1844', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-3.4776	0.98635	-5.7671	-5.7172	-6.0821	0.9411	0.055345	0.065887	5.3267
('Etoposide 1845', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-3.4776	0.9809	-5.4316	-5.285	-5.6157	1.306	0.1785	0.1808	6.2867
('Etoposide 1846', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: 184A1', 'clCenterSpecificID: 51088')	-3.4776	0.95145	-4.5937	-4.5938	-5.0898	0.7937	1.52e-13	0.11737	6.7842
('Etoposide 1847', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-3.4776	0.9782	-6.1316	-6.0783	-6.4905	0.41465	0.02488	0.096965	4.7863
('Etoposide 1848', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: MX1', 'clCenterSpecificID: 51090')	-3.4776	0.9631	-5.3256	-5.3256	-6.3576	0.5445	1.49e-12	0.089728	5.6932
('Etoposide 1849', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')	-3.4776	0.9466	-5.7246	-4.2055	-5.8257	1.116	0.4899	0.49148	7.2533
('Etoposide 1850', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-3.4776	0.93825	-5.1061	-4.0548	-5.3558	0.996	0.4402	0.45963	7.2788
('Etoposide 1851', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC2185', 'clCenterSpecificID: 51093')	-3.4776	0.9059	-3.9244	-3.5334	-5.0698	0.5674	0.1331	0.48817	7.7979
('Etoposide 1852', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: HCC3153', 'clCenterSpecificID: 51094')	-3.4776	0.9895	-5.2941	-5.2682	-5.6006	1.3885	0.04195	0.046144	5.9853
('Etoposide 1853', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: LY2', 'clCenterSpecificID: 51095')	-3.4776								8.9182
('Etoposide 1854', 'smCenterCompoundID: 10250', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6348', 'smName: Etoposide', 'clName: ZR75B', 'clCenterSpecificID: 51096')	-3.4776	0.9583	-5.6916	-5.2187	-6.0929	0.3813	0.1698	0.27379	5.8559
('Fascaplysin 1855', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: MCF7', 'clCenterSpecificID: 50029')	-4.4776	0.97845	-6.5106	-6.5102	-6.6917	1.9035	2.01e-16	0.00021216	5.5745
('Fascaplysin 1856', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-4.4776	0.97765	-6.4881	-6.481	-6.6994	1.1708	0.01095	0.018404	5.564
('Fascaplysin 1857', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-4.4776	0.9406	-6.5876	-6.5862	-6.6577	2.967	0.005835	0.0058791	5.6606
('Fascaplysin 1858', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: AU565', 'clCenterSpecificID: 50091')	-4.4776	0.98585	-6.8296	-6.8296	-6.9778	1.3645	0.00018705	0.00093023	5.1441
('Fascaplysin 1859', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: BT-20', 'clCenterSpecificID: 50105')	-4.4776	0.9808	-6.4066	-6.4041	-6.5249	3.591	0.00684	0.0068417	5.8166
('Fascaplysin 1860', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: BT-474', 'clCenterSpecificID: 50106')	-4.4776	0.9875	-6.4501	-6.4491	-6.6871	2.8135	0.0037045	0.0037631	5.7197
('Fascaplysin 1861', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: BT-483', 'clCenterSpecificID: 50107')	-4.4776	0.9919	-7.0166	-7.0138	-7.2225	3.742	0.01247	0.01247	4.8829
('Fascaplysin 1862', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: BT-549', 'clCenterSpecificID: 50108')	-4.4776	0.97255	-6.3291	-6.3287	-6.3581	3.2605	0.0013475	0.001352	6.123
('Fascaplysin 1863', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: CAMA-1', 'clCenterSpecificID: 50131')	-4.4776	0.98875	-6.4531	-6.4524	-6.5899	3.307	0.003543	0.0035433	5.7139
('Fascaplysin 1864', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC1143', 'clCenterSpecificID: 50205')	-4.4776	0.9804	-6.4486	-6.4482	-6.5516	2.217	1.18e-16	4.28e-05	5.7131
('Fascaplysin 1865', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-4.4776	0.98935	-6.3281	-6.3267	-6.5158	2.4265	0.0036705	0.0037095	5.8352
('Fascaplysin 1866', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-4.4776	0.98595	-6.2211	-6.2182	-6.5757	2.658	0.008507	0.008678	5.9221
('Fascaplysin 1867', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC1428', 'clCenterSpecificID: 50208')	-4.4776	0.9933	-7.2466	-7.2446	-7.4391	2.6515	0.00535	0.00535	4.4905
('Fascaplysin 1868', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-4.4776	0.9831	-6.2996	-6.2991	-6.3953	2.355	0.002369	0.0023696	5.8015
('Fascaplysin 1869', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC1806', 'clCenterSpecificID: 50211')	-4.4776	0.97165	-6.5146	-6.5131	-6.5995	2.3115	0.005265	0.0053288	5.5217
('Fascaplysin 1870', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC1937', 'clCenterSpecificID: 50212')	-4.4776	0.9884	-6.3396	-6.338	-6.4588	2.5715	0.0055885	0.0056837	5.8011
('Fascaplysin 1871', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC1954', 'clCenterSpecificID: 50213')	-4.4776	0.98385	-6.4836	-6.4839	-6.5772	2.5395	3.73e-14	8.06e-06	5.5274
('Fascaplysin 1872', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC202', 'clCenterSpecificID: 50214')	-4.4776	0.9784	-7.1416	-7.14	-7.3198	3.983	0.006802	0.006802	4.8672
('Fascaplysin 1873', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC38', 'clCenterSpecificID: 50216')	-4.4776	0.97415	-6.4461	-6.4462	-6.5732	2.178	4.84e-14	6.14e-05	5.3893
('Fascaplysin 1874', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: HCC70', 'clCenterSpecificID: 50219')	-4.4776	0.9766	-6.5836	-6.5841	-6.9057	1.525	1.54e-16	0.00061289	5.2074
('Fascaplysin 1875', 'smCenterCompoundID: 10251', 'smSalt: 112', 'smCenterSampleID: 1.0', 'smLincsID: LSM-4272', 'smName: Fascaplysin', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-4.4776	0.8815	-6.1351	-6.135	-6.1576	3.998	1.68e-16	2.37e-07	6.817
