	('seedingDensity 0', 'datapointUnit: ')	('iC50 1', 'datapointUnit: uM')	('emaxIC 2', 'datapointUnit: ')	('aUCIC 3', 'datapointUnit: ')	('curveFitIC 4', 'datapointUnit: ')	('r2Ic 5', 'datapointUnit: ')	('eC50IC 6', 'datapointUnit: uM')	('einfIC 7', 'datapointUnit: ')	('hillCoefficientIC 8', 'datapointUnit: ')	('gR50 9', 'datapointUnit: uM')	('gRmax 10', 'datapointUnit: ')	('aUCGR 11', 'datapointUnit: ')	('curveFitGR 12', 'datapointUnit: ')	('r2Gr 13', 'datapointUnit: ')	('eC50GR 14', 'datapointUnit: uM')	('gRinf 15', 'datapointUnit: ')	('hillCoefficientGR 16', 'datapointUnit: ')
('556075 420', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	156.25	0.0624	0.29098	0.42165		0.9679	0.0289	0.35636	1.6173	0.0287	-0.023231	0.61004		0.9601	0.0255	0.10161	1.8894
('556076 421', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	312.5	0.0501	0.27718	0.46031		0.9821	0.0278	0.30391	1.589	0.0249	-0.02376	0.65612		0.9799	0.0239	0.034169	1.7633
('556077 422', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	625.0	0.0636	0.23839	0.49729		0.9852	0.0257	0.25852	0.80442	0.0242	-0.058723	0.67976		0.9729	0.0259	-0.024946	0.68869
('556078 423', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	1250.0	0.0708	0.23839	0.49111		0.9953	0.027	0.25629	0.74427	0.0246	-0.079984	0.68137		0.9898	0.0282	-0.047823	0.66468
('556079 424', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	2500.0	0.1234	0.26314	0.46915		0.9883	0.0318	0.25038	0.51201	0.022	-0.097686	0.68682		0.9812	0.0372	-0.13469	0.45478
('556080 425', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	5000.0	1.6625	0.37249	0.33805		0.9901	0.6036	0.14149	0.32831	0.0716	-0.26971	0.62737		0.984	1.102	-0.80883	0.35208
('556081 426', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	156.25	1.5073	0.28706	0.14837		0.9817	1.0355	0.31641	2.6686	1.1513	-0.067894	0.22897		0.9905	1.228	-0.065462	1.9084
('556082 427', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	312.5	1.1653	0.24558	0.16365		0.9856	1.0134	0.25133	5.0	1.0984	0.029885	0.21074		0.9917	1.0796	0.041426	5.0
('556083 428', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	625.0	1.1087	0.22947	0.16779		0.9842	0.9609	0.25549	5.0	1.1256	0.035412	0.20334		0.9875	1.0732	0.06805	3.0699
('556084 429', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	1250.0	1.5521	0.24015	0.14588		0.9842	1.2491	0.253	3.2466	1.6131	0.088236	0.16753		0.9883	1.5016	0.090107	2.7743
('556085 430', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	2500.0	1.9995	0.26008	0.15734		0.9951	1.4303	0.24836	2.0497	1.9158	0.11082	0.17612		0.9973	1.7466	0.082819	1.9586
('556086 431', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 10')	5000.0	3.8096	0.39774	0.11041		0.9958	2.1412	0.38567	2.561	2.3948	0.082885	0.16253		0.9967	2.2749	0.061302	2.5464
('556087 432', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	156.25	inf	0.52747	0.32138		0.8963	0.0791	0.51491	1.4569	0.1527	0.37704	0.45795		0.8674	0.087	0.30558	1.6781
('556088 433', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	312.5	0.5675	0.37286	0.34373		0.9688	0.1341	0.40532	1.1535	0.262	0.21055	0.42397		0.9572	0.1414	0.25496	1.1558
('556089 434', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	625.0	0.4407	0.38925	0.33388		0.9847	0.1121	0.43583	1.4992	0.2216	0.23249	0.40446		0.9783	0.1245	0.31248	1.7013
('556090 435', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	1250.0	0.3887	0.37486	0.35802		0.9866	0.1101	0.38855	1.1902	0.2165	0.22121	0.43081		0.9856	0.125	0.24474	1.223
('556091 436', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	2500.0	0.6172	0.43977	0.33241		0.9895	0.0946	0.45098	1.2384	0.1931	0.24633	0.43403		0.9906	0.1067	0.26633	1.2817
('556092 437', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	5000.0	inf	0.58568	0.26643		0.9917	0.072	0.58537	1.0795	0.1331	0.25489	0.48661		0.9909	0.0683	0.25397	1.0621
('556093 438', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	156.25	inf	1.05	-0.035687		-2.6486	inf	1.05	0.0	inf	1.05	-0.026232		-0.6201	inf	1.05	0.0
('556094 439', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	312.5	inf	0.96907	-0.035532		-1.7984	inf	0.96907	0.0	inf	0.96471	-0.015102		-0.202	inf	0.96471	0.0
('556095 440', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	625.0	inf	0.51546	0.011625		0.3454	inf	0.51546	0.0	inf	0.45005	0.022982		0.3565	inf	0.45005	0.0
('556096 441', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	1250.0	inf	0.42055	0.056525		0.6237	4.9722	0.64027	4.9948	inf	0.30167	0.074054		0.4129	inf	0.30167	0.0
('556097 442', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	2500.0	8.901	0.44175	0.070274		0.9726	5.6398	0.44886	4.9965	6.7145	0.25068	0.093779		0.9723	5.7569	0.26833	5.0
('556098 443', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	5000.0	11.7366	0.47063	0.070584		0.9797	4.9375	0.49341	5.0	5.7404	-0.0098427	0.10334		0.9757	5.6731	0.028601	4.9958
('556099 444', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	156.25	0.006	0.24277	0.45543		0.966	0.0031	0.30417	1.4417	0.0037	-0.16308	0.63773		0.9553	0.0038	-0.027926	1.8504
('556100 445', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	312.5	0.0049	0.26163	0.49223		0.9943	0.0029	0.26483	1.488	0.0044	0.0080586	0.6234		0.9827	0.0043	0.016389	1.6159
('556101 446', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	625.0	0.0041	0.27094	0.49043		0.9935	0.0023	0.28812	1.4902	0.0034	0.028507	0.6231		0.9943	0.0031	0.047812	1.2962
('556102 447', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	1250.0	0.0046	0.23864	0.47464		0.9877	0.003	0.27957	1.9564	0.0041	-0.02464	0.6059		0.9832	0.0039	0.037808	1.6166
('556103 448', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	2500.0	0.0088	0.27784	0.40763		0.9899	0.0056	0.3112	2.1163	0.0064	-0.041933	0.56753		0.9878	0.0063	0.017906	1.9822
('556104 449', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	5000.0	inf	0.43715	0.24809		0.9696	0.0096	0.50835	4.9989	0.0153	-0.11309	0.46177		0.9784	0.0155	-0.0081036	1.722
('556105 450', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	156.25	0.1358	0.27401	0.41785		0.9607	0.0594	0.28303	1.0087	0.0375	-0.10587	0.66579		0.948	0.0462	-0.092572	0.81363
('556106 451', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	312.5	0.1027	0.20701	0.4718		0.9914	0.0479	0.21442	0.73474	0.0491	-0.10123	0.62277		0.9889	0.0704	-0.11986	0.59641
('556107 452', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	625.0	0.0659	0.21852	0.50004		0.9889	0.0296	0.23646	0.80153	0.0302	-0.08101	0.66676		0.99	0.0357	-0.059886	0.67636
('556108 453', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	1250.0	0.0759	0.21664	0.49509		0.9864	0.0313	0.23061	0.69893	0.0335	-0.070229	0.64906		0.978	0.0414	-0.066339	0.58899
('556109 454', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	2500.0	0.1448	0.26891	0.45818		0.9975	0.0411	0.24239	0.52672	0.0325	-0.062291	0.65135		0.9939	0.0481	-0.10738	0.49708
('556110 455', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50058', 'cell_clName: MDA-MB-231', 'replicate: 11')	5000.0	1.5766	0.36966	0.3294		0.9957	0.5936	0.14858	0.36102	0.1077	-0.23379	0.58316		0.9938	0.7877	-0.6482	0.41772
('556111 456', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	156.25	4.8641	0.36859	0.075824		0.9744	2.9659	0.31054	1.9617	2.3148	-0.20956	0.16871		0.9919	3.1061	-0.35362	1.8191
('556112 457', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	312.5	3.7935	0.38869	0.077513		0.9697	2.1702	0.37673	2.5072	1.9558	-0.14999	0.17296		0.9903	2.2149	-0.17752	2.4417
('556113 458', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	625.0	2.9826	0.25722	0.092507		0.9802	2.4087	0.25008	3.2454	2.2539	-0.24119	0.16693		0.9919	2.5629	-0.25649	3.2228
('556114 459', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	1250.0	2.4485	0.35775	0.095474		0.9769	1.7399	0.35761	3.6764	1.8738	0.035904	0.1553		0.989	1.8372	0.034453	3.6151
('556115 460', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	2500.0	2.5949	0.32824	0.10122		0.9809	1.8812	0.3263	3.2875	1.954	-0.031517	0.16377		0.991	1.997	-0.036461	3.2405
('556116 461', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	5000.0	3.4169	0.36545	0.092958		0.9858	2.2807	0.35942	3.1387	2.2559	-0.071031	0.16087		0.9937	2.3698	-0.08298	3.1156
('556117 462', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	156.25	23.4882	0.68672	-0.01437		0.8645	23.4881	1.4322e-05	5.0	19.1631	0.41106	0.0034207		0.9432	23.872	-1.0	5.0
('556118 463', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	312.5	24.832	0.74354	-0.036524		0.7551	24.8319	2.6738e-06	5.0	20.3724	0.53019	-0.029292		0.9073	25.3785	-1.0	5.0
('556119 464', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	625.0	27.1685	0.81984	-0.040287		0.5695	27.1647	0.00035477	5.0	23.3287	0.73003	-0.037253		0.7686	29.055	-0.99839	5.0
('556120 465', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	1250.0	27.4271	0.82644	-0.03828		0.5656	27.4199	0.00065968	5.0	24.1694	0.76859	-0.03712		0.7165	30.0978	-0.99731	5.0
('556121 466', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	2500.0	inf	0.7649	-0.017337		0.8524	17.7176	0.63327	4.7685	26.7937	0.67967	-0.016177		0.9014	19.9517	0.36326	4.3971
('556122 467', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	5000.0	inf	0.77469	-0.0097811		0.8661	10.2702	0.76659	4.9996	inf	0.64742	-0.0058659		0.9152	10.3841	0.63403	5.0
('556123 468', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	156.25	26.2184	0.58115	0.062441		0.8603	26.2184	2.2397e-14	1.4198	11.6786	0.11322	0.12738		0.8903	23.4356	-1.0	1.5773
('556124 469', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	312.5	inf	0.58042	0.2057		0.9551	0.1305	0.61261	1.8634	0.3282	0.24933	0.3669		0.9706	0.183	0.28017	1.4064
('556125 470', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	625.0	inf	0.51226	0.27453		0.6093	0.0375	0.63944	1.6869	0.0394	0.18374	0.47005		0.5401	0.0262	0.43461	5.0
('556126 471', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	1250.0	1.0299	0.36882	0.31661		0.9547	0.2199	0.37917	0.91993	0.2257	-0.030391	0.51581		0.9614	0.2381	-0.022063	0.81059
('556127 472', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	2500.0	0.8767	0.3802	0.31511		0.9943	0.2413	0.38546	1.1424	0.3481	0.10448	0.44106		0.9925	0.2763	0.11474	1.1275
('556128 473', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	5000.0	inf	0.50451	0.28342		0.9475	0.1503	0.49998	0.94221	0.2708	0.19532	0.45317		0.95	0.1658	0.18792	0.96108
('556129 474', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	156.25	inf	1.05	0.03802		0.0745	inf	1.05	0.0	inf	1.05	0.095301		0.0963	inf	1.05	0.0
('556130 475', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	312.5	inf	1.05	-0.05		-inf	inf	1.05	0.0	inf	1.05	-0.05		-inf	inf	1.05	0.0
('556131 476', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	625.0	inf	1.0387	-0.048799		-187.4768	inf	1.0387	0.0	inf	1.05	-0.05		-inf	inf	1.05	0.0
('556132 477', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	1250.0	inf	0.6127	0.0092335		0.8778	5.6289	0.66407	4.9995	inf	0.46298	0.028912		0.9041	5.4945	0.5404	4.975
('556133 478', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	2500.0	8.5158	0.3395	0.047994		0.9751	6.8674	0.32947	5.0	6.9453	-0.010221	0.091712		0.9874	7.0079	-0.022945	5.0
('556134 479', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50105', 'cell_clName: BT-20', 'replicate: 3')	5000.0	7.9171	0.27056	0.056215		0.9776	6.8469	0.2581	5.0	6.3355	-0.26144	0.12573		0.9913	6.9197	-0.27717	5.0
