	('meanRelativeCellCountAfterTreatment 0',)	('standardErroroftheMeanforRelativeCellCountAfterTreatment 1',)	('meanRelativeGrowthRateAfterTreatment 2',)	('standardErroroftheMeanforRelativeGrowthRateAfterTreatment 3',)
('337033 2037', 'smCenterCompoundID: 10072', 'smSalt: 101', 'smLincsID: LSM-1072', 'smName: PF562271', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.045267	0.0063315	-0.060206	0.038854
('337034 2038', 'smCenterCompoundID: 10125', 'smSalt: 101', 'smLincsID: LSM-1125', 'smName: PHA-665752', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.48783	0.22497	0.44723	0.23007
('337035 2039', 'smCenterCompoundID: 10073', 'smSalt: 101', 'smLincsID: LSM-1073', 'smName: PHA-793887', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.046159	0.0062564	-0.059038	0.036265
('337036 2040', 'smCenterCompoundID: 10126', 'smSalt: 101', 'smLincsID: LSM-1126', 'smName: PI103', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.12652	0.037664	0.032978	0.011999
('337037 2041', 'smCenterCompoundID: 10049', 'smSalt: 101', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.81796	0.070028	0.80281	0.07078
('337038 2042', 'smCenterCompoundID: 10075', 'smSalt: 101', 'smLincsID: LSM-5803', 'smName: QL-X-138', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.065074	0.020791	-0.036472	0.011647
('337039 2043', 'smCenterCompoundID: 10077', 'smSalt: 101', 'smLincsID: LSM-6019', 'smName: QL-XII-47', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.058672	0.0069736	-0.044689	0.028661
('337040 2044', 'smCenterCompoundID: 10480', 'smSalt: 101', 'smLincsID: ', 'smName: Radicicol', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.044729	0.0060303	-0.060169	0.029072
('337041 2045', 'smCenterCompoundID: 10480', 'smSalt: 101', 'smLincsID: ', 'smName: Radicicol', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.050514	0.012439	-0.053355	0.023569
('337042 2046', 'smCenterCompoundID: 10001', 'smSalt: 101', 'smLincsID: LSM-1001', 'smName: (R)- Roscovitine', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.34236	0.11022	0.27613	0.10116
('337043 2047', 'smCenterCompoundID: 10138', 'smSalt: 105', 'smLincsID: LSM-1139', 'smName: Ruxolitinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.72341	0.057108	0.69712	0.054537
('337044 2048', 'smCenterCompoundID: 10148', 'smSalt: 101', 'smLincsID: LSM-1149', 'smName: XL147', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.46289	0.030638	0.40518	0.025993
('337045 2049', 'smCenterCompoundID: 10032', 'smSalt: 101', 'smLincsID: LSM-1032', 'smName: Saracatinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.13831	0.043808	0.046549	0.017376
('337046 2050', 'smCenterCompoundID: 10056', 'smSalt: 101', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.16919	0.050696	0.08134	0.026128
('337047 2051', 'smCenterCompoundID: 10052', 'smSalt: 101', 'smLincsID: LSM-1052', 'smName: Rapamycin', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.97417	0.076651	0.97535	0.087017
('337048 2052', 'smCenterCompoundID: 10008', 'smSalt: 101', 'smLincsID: LSM-1008', 'smName: Sorafenib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.52562	0.054868	0.47422	0.059035
('337049 2053', 'smCenterCompoundID: 10119', 'smSalt: 101', 'smLincsID: LSM-1119', 'smName: SU11274', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.34943	0.062676	0.28235	0.046429
('337050 2054', 'smCenterCompoundID: 10141', 'smSalt: 101', 'smLincsID: LSM-1142', 'smName: TG 101348', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.11783	0.040231	0.023548	0.012691
('337051 2055', 'smCenterCompoundID: 10171', 'smSalt: 101', 'smLincsID: LSM-1172', 'smName: TGX221', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.91148	0.086827	0.90675	0.091266
('337052 2056', 'smCenterCompoundID: 10079', 'smSalt: 101', 'smLincsID: LSM-1079', 'smName: Torin1', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.1288	0.029658	0.034942	0.0020955
('337053 2057', 'smCenterCompoundID: 10080', 'smSalt: 101', 'smLincsID: LSM-1080', 'smName: Torin2', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.10664	0.031492	0.010331	0.011228
('337054 2058', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.11841	0.022335	0.022845	0.0086527
('337055 2059', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.19554	0.058977	0.11121	0.036349
('337056 2060', 'smCenterCompoundID: 10111', 'smSalt: 101', 'smLincsID: LSM-1111', 'smName: TWS119', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.11475	0.044041	0.020364	0.017184
('337057 2061', 'smCenterCompoundID: 10068', 'smSalt: 101', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.34604	0.083947	0.27961	0.070188
('337058 2062', 'smCenterCompoundID: 10481', 'smSalt: 101', 'smLincsID: ', 'smName: Withaferin A', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.037894	0.0091719	-0.068369	0.039987
('337059 2063', 'smCenterCompoundID: 10481', 'smSalt: 101', 'smLincsID: ', 'smName: Withaferin A', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.035658	0.0096438	-0.070967	0.041766
('337060 2064', 'smCenterCompoundID: 10064', 'smSalt: 101', 'smLincsID: LSM-1064', 'smName: WYE-125132', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.15078	0.043526	0.06037	0.017891
('337061 2065', 'smCenterCompoundID: 10084', 'smSalt: 101', 'smLincsID: LSM-5970', 'smName: WZ3105', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.033757	0.0095382	-0.073057	0.040885
('337062 2066', 'smCenterCompoundID: 10086', 'smSalt: 101', 'smLincsID: LSM-1086', 'smName: XMD11-50', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.14362	0.043046	0.052311	0.019826
('337063 2067', 'smCenterCompoundID: 10149', 'smSalt: 102', 'smLincsID: LSM-1150', 'smName: Y39983', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.26894	0.085855	0.19158	0.081831
('337064 2068', 'smCenterCompoundID: 10109', 'smSalt: 101', 'smLincsID: LSM-1109', 'smName: YM 201636', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.23212	0.052152	0.15112	0.031408
('337065 2069', 'smCenterCompoundID: 10053', 'smSalt: 101', 'smLincsID: LSM-1053', 'smName: ZSTK474', 'clName: MCF 10A', 'clCenterSpecificID: 50583', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.16714	0.041411	0.078189	0.021782
('337066 2070', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.79263	0.062054	0.71155	0.089088
('337067 2071', 'smCenterCompoundID: 10035', 'smSalt: 101', 'smLincsID: LSM-1035', 'smName: Sigma A6730', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.80152	0.015671	0.72516	0.016534
('337068 2072', 'smCenterCompoundID: 10011', 'smSalt: 101', 'smLincsID: LSM-1011', 'smName: Flavopiridol', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.24109	0.038558	-0.055586	0.070558
('337069 2073', 'smCenterCompoundID: 10004', 'smSalt: 101', 'smLincsID: LSM-1004', 'smName: AT-7519', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.74408	0.16493	0.63794	0.23496
('337070 2074', 'smCenterCompoundID: 10158', 'smSalt: 101', 'smLincsID: LSM-1159', 'smName: AZD 5438', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.80707	0.049615	0.73058	0.072661
('337071 2075', 'smCenterCompoundID: 10059', 'smSalt: 101', 'smLincsID: LSM-1059', 'smName: AZD-6482', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0809	0.040638	1.1127	0.058111
('337072 2076', 'smCenterCompoundID: 10006', 'smSalt: 101', 'smLincsID: LSM-1006', 'smName: AZD7762', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.42929	0.039829	0.20979	0.036209
('337073 2077', 'smCenterCompoundID: 10007', 'smSalt: 101', 'smLincsID: LSM-1007', 'smName: AZD8055', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.29533	0.010537	0.02176	0.013829
('337074 2078', 'smCenterCompoundID: 10164', 'smSalt: 101', 'smLincsID: LSM-1165', 'smName: AZD8330', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.47884	0.042913	0.27844	0.045767
('337075 2079', 'smCenterCompoundID: 10067', 'smSalt: 101', 'smLincsID: LSM-1067', 'smName: AZD1152-HQPA', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.39267	0.014384	0.15638	0.028535
('337076 2080', 'smCenterCompoundID: 10041', 'smSalt: 101', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.33298	0.03091	0.075484	0.02047
('337077 2081', 'smCenterCompoundID: 10028', 'smSalt: 102', 'smLincsID: LSM-1028', 'smName: BMS345541', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0244	0.034794	1.0361	0.048268
('337078 2082', 'smCenterCompoundID: 10132', 'smSalt: 101', 'smLincsID: LSM-1132', 'smName: BMS-387032', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.24371	0.035545	-0.051207	0.062042
('337079 2083', 'smCenterCompoundID: 10234', 'smSalt: 101', 'smLincsID: LSM-4257', 'smName: GDC-0980', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.34576	0.019795	0.090016	0.047467
('337080 2084', 'smCenterCompoundID: 10122', 'smSalt: 101', 'smLincsID: LSM-1122', 'smName: NVP-AEW541', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0087	0.024019	1.0109	0.033074
('337081 2085', 'smCenterCompoundID: 10046', 'smSalt: 101', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.96359	0.046474	0.95041	0.065447
('337082 2086', 'smCenterCompoundID: 10190', 'smSalt: 101', 'smLincsID: LSM-1191', 'smName: PIK-93', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.1076	0.051905	1.1489	0.073125
('337083 2087', 'smCenterCompoundID: 10031', 'smSalt: 101', 'smLincsID: LSM-1031', 'smName: KIN001-043', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.93623	0.02652	0.91014	0.038196
('337084 2088', 'smCenterCompoundID: 10233', 'smSalt: 101', 'smLincsID: LSM-4256', 'smName: BYL719', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.91352	0.056758	0.87755	0.080792
('337085 2089', 'smCenterCompoundID: 10161', 'smSalt: 101', 'smLincsID: LSM-1162', 'smName: NVP-AUY922', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.30435	0.02598	0.035201	0.019635
('337086 2090', 'smCenterCompoundID: 10045', 'smSalt: 101', 'smLincsID: LSM-1045', 'smName: A443654', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.27446	0.029035	-0.0068817	0.036182
('337087 2091', 'smCenterCompoundID: 10063', 'smSalt: 102', 'smLincsID: LSM-1063', 'smName: OSI-027', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.88465	0.055276	0.83718	0.079212
('337088 2092', 'smCenterCompoundID: 10087', 'smSalt: 101', 'smLincsID: LSM-5577', 'smName: XMD11-85h', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.7766	0.044675	0.69244	0.054022
('337089 2093', 'smCenterCompoundID: 10017', 'smSalt: 101', 'smLincsID: LSM-6015', 'smName: HG-6-64-01', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.1188	0.032511	1.1645	0.045199
('337090 2094', 'smCenterCompoundID: 10039', 'smSalt: 101', 'smLincsID: LSM-5431', 'smName: WH-4-025', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.97025	0.028403	0.9583	0.040452
('337091 2095', 'smCenterCompoundID: 10082', 'smSalt: 101', 'smLincsID: LSM-5545', 'smName: WZ-4-145', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.70326	0.021154	0.58816	0.029229
('337092 2096', 'smCenterCompoundID: 10091', 'smSalt: 101', 'smLincsID: LSM-6299', 'smName: XMD16-144', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.38546	0.014104	0.14703	0.015623
('337093 2097', 'smCenterCompoundID: 10177', 'smSalt: 101', 'smLincsID: LSM-1178', 'smName: Brivanib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.93894	0.047027	0.91495	0.067014
('337094 2098', 'smCenterCompoundID: 10147', 'smSalt: 101', 'smLincsID: LSM-1148', 'smName: NVP-BKM120', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.82472	0.11638	0.75273	0.16603
('337095 2099', 'smCenterCompoundID: 10055', 'smSalt: 101', 'smLincsID: LSM-1055', 'smName: BX-912', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.86093	0.026292	0.80754	0.035422
('337096 2100', 'smCenterCompoundID: 10120', 'smSalt: 102', 'smLincsID: LSM-1120', 'smName: Canertinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.96529	0.0055952	0.95213	0.0065954
('337097 2101', 'smCenterCompoundID: 10117', 'smSalt: 101', 'smLincsID: LSM-1117', 'smName: Celastrol', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.061	0.019599	1.0842	0.026762
('337098 2102', 'smCenterCompoundID: 10025', 'smSalt: 101', 'smLincsID: LSM-1025', 'smName: CGP60474', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.96469	0.069431	0.94821	0.097501
('337099 2103', 'smCenterCompoundID: 10025', 'smSalt: 101', 'smLincsID: LSM-1025', 'smName: CGP60474', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.14673	0.011055	-0.18463	0.017776
('337100 2104', 'smCenterCompoundID: 10180', 'smSalt: 101', 'smLincsID: LSM-1181', 'smName: CHIR-99021', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.84429	0.04398	0.78632	0.055467
('337101 2105', 'smCenterCompoundID: 10010', 'smSalt: 101', 'smLincsID: LSM-1010', 'smName: CP724714', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.87908	0.048962	0.8305	0.070892
('337102 2106', 'smCenterCompoundID: 10009', 'smSalt: 101', 'smLincsID: LSM-1009', 'smName: CP466722', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.1188	0.026024	1.1653	0.037805
('337103 2107', 'smCenterCompoundID: 10027', 'smSalt: 101', 'smLincsID: LSM-1027', 'smName: Crizotinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.81259	0.038539	0.74156	0.048969
('337104 2108', 'smCenterCompoundID: 10140', 'smSalt: 101', 'smLincsID: LSM-1141', 'smName: CYT387', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.95052	0.013964	0.93045	0.020524
('337105 2109', 'smCenterCompoundID: 10020', 'smSalt: 101', 'smLincsID: LSM-1020', 'smName: Dasatinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.69714	0.045137	0.57986	0.062996
('337106 2110', 'smCenterCompoundID: 10020', 'smSalt: 101', 'smLincsID: LSM-1020', 'smName: Dasatinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.31314	0.044034	0.047341	0.054743
('337107 2111', 'smCenterCompoundID: 10127', 'smSalt: 101', 'smLincsID: LSM-1127', 'smName: Dovitinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.93277	0.024425	0.90781	0.032153
('337108 2112', 'smCenterCompoundID: 10069', 'smSalt: 101', 'smLincsID: LSM-1069', 'smName: Enzastaurin', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0142	0.03484	1.0175	0.046872
('337109 2113', 'smCenterCompoundID: 10097', 'smSalt: 101', 'smLincsID: LSM-1097', 'smName: Erlotinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.89865	0.033367	0.85864	0.048275
('337110 2114', 'smCenterCompoundID: 10157', 'smSalt: 101', 'smLincsID: LSM-1158', 'smName: Foretinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0459	0.015623	1.063	0.020867
('337111 2115', 'smCenterCompoundID: 10040', 'smSalt: 101', 'smLincsID: LSM-1040', 'smName: R406', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.93482	0.045916	0.91241	0.060242
('337112 2116', 'smCenterCompoundID: 10047', 'smSalt: 101', 'smLincsID: LSM-1047', 'smName: GDC-0941', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.46944	0.030636	0.26293	0.047621
('337113 2117', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0537	0.031199	1.075	0.044633
('337114 2118', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.6051	0.030128	0.45003	0.051859
('337115 2119', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.58388	0.018743	0.42117	0.036422
('337116 2120', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0383	0.041012	1.0508	0.05503
('337117 2121', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.94072	0.031338	0.91902	0.042507
('337118 2122', 'smCenterCompoundID: 10134', 'smSalt: 101', 'smLincsID: LSM-1134', 'smName: GSK1904529A', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.565	0.050832	0.39317	0.081742
('337119 2123', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.28174	0.023919	0.0034606	0.023015
('337120 2124', 'smCenterCompoundID: 10128', 'smSalt: 101', 'smLincsID: LSM-1128', 'smName: GSK 690693', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.68089	0.023768	0.55543	0.041808
('337121 2125', 'smCenterCompoundID: 10014', 'smSalt: 101', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.7162	0.054618	0.603	0.082597
('337122 2126', 'smCenterCompoundID: 10015', 'smSalt: 101', 'smLincsID: LSM-5982', 'smName: HG-5-113-01', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.905	0.035095	0.86804	0.049981
('337123 2127', 'smCenterCompoundID: 10016', 'smSalt: 101', 'smLincsID: LSM-5245', 'smName: HG-5-88-01', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.67708	0.037292	0.55231	0.050064
('337124 2128', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0279	0.039561	1.0379	0.055622
('337125 2129', 'smCenterCompoundID: 10100', 'smSalt: 101', 'smLincsID: LSM-36386', 'smName: JNK-9L', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.73831	0.043962	0.63655	0.062928
('337126 2130', 'smCenterCompoundID: 10019', 'smSalt: 101', 'smLincsID: LSM-5674', 'smName: JW-7-24-1', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.65873	0.032408	0.5256	0.049083
('337127 2131', 'smCenterCompoundID: 10051', 'smSalt: 104', 'smLincsID: LSM-1051', 'smName: Lapatinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.80992	0.048342	0.73435	0.071276
('337128 2132', 'smCenterCompoundID: 10115', 'smSalt: 102', 'smLincsID: LSM-1115', 'smName: LDN-193189', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.1062	0.0242	1.1481	0.035518
('337129 2133', 'smCenterCompoundID: 10182', 'smSalt: 101', 'smLincsID: LSM-1183', 'smName: Linifanib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0312	0.0605	1.0456	0.085408
('337130 2134', 'smCenterCompoundID: 10135', 'smSalt: 101', 'smLincsID: LSM-1135', 'smName: Linsitinib', 'clName: MCF7', 'clCenterSpecificID: 50029', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.7789	0.012178	0.69357	0.011014
